headword	status	pc_form	pg_form	references	isogloss_typology	interpretation	interpretation_category	stratum	notes	page_anchor
Heron	rejected			Schrijver 1997, EDPG 241					PBr. *kraxar- has been reconstructed based on MW crehyr, B querhair ‘heron’ and has been identified along with PG *hraigran- (OE hrāgra, OS hēgro, OHG reigar, heigar), *higran- (ON hegri, OSw. hægher) ‘heron’ as a loanword from a common substrate language. However the Vannetais dialect in which querhair is found has a number of instances of *ð > r, which makes a connection with the usual Breton word for heron, kerc’heiz < *kerxɪð more economical. Without the Breton cognate, there is no reason to consider MW crehyr the original form among a wide range of variants including grehyr, cryr, and gryr, some of which are attested as early as crehyr. Although a substrate origin cannot be rejected, it is likely that crehyr is of onomatopoetic origin.	page:45
Hill	rejected			L252, IEW 287-289, EDPG 518					OIr. dind ‘hill, height’ has been connected to ON tindr ‘spike, mountain peak’, OE tind, MHG zint ‘tine, prong’, OHG zinna ‘pinnacle’, but it is preferable to derive the Germanic from PIE *h3dent-, a full-grade formation of the PIE word for ‘tooth’. The Celtic word requires PIE *-nd- or *-ndʰ- rather than *-nt-, so a connection with the word for ‘tooth’ would have to be sacrificed for the isogloss to work.	page:45
Ice	rejected			L251, IEW 503, EDPC 435, EDPG 273					PC *iegi- ‘ice’ is cognate to PG *jekan- ‘ice’, but further cognates include Lith. yžià ‘ice-floe’ and Hitt. eka- ‘cold, frost, ice’, all from PIE *ieǵ-.	page:45
Kindle	rejected			L260, IEW 179-181, EDPC 171, EDPG 508					OIr. ad-annai ‘kindles, lights’ and PG *tandjan- ‘to kindle’ (Go. tandjan, ON tenda, OE on-tendan) have been derived from a similar univerbation of (in pre-laryngealistic terms) the prefix *ad- and a further non-attested root *andʰ- ‘to burn’. However, PG *tandjan- is to be analyzed as a causative to *tind(n)an- (cf. MHG zinden, zinnen) ‘to burn’ with e-vocalism, meaning that its a must continue *o rather than *a.	page:45
Kindred	rejected			L259, Kr135, Schm140, EDPC 413, EDPG 579					PC *ueniā (OIr. fine ‘kindred, progeny; kinsperson’) has a root connection to PG *weni- (ON vinr, OE wine, OFri. wine, OHG wini ‘friend’) through PIE *uenh1- ‘to love’, cf. Skt. vánate ‘to love’. However, the formations are dissimilar: *uenh1-ieh2 and *uenh1-i- respectively. The semantic development from ‘to love’ to ‘loved one’ are trivial and do not warrant a Celto-Germanicism, cf. Skt. vanitā, YAv. vaṇtā ‘loved one, spouse’.	page:45
Land	rejected			L253, IEW 675, EDPC 232, EDPG 326					PC: *landā ‘open land’ (< *lndʰ-) and PG *landa- ‘land’ (< *londʰ-) are cognate, but so is OPr. lindan ‘valley’ (< *lndʰ-).	page:45
Light	rejected			EDPC 339, EDPG 263, 438					OHG scamm, ON skammr ‘short’ is unlikely to be cognate with MIr. scaim ‘lungs’, W ysgafn ‘light’ ysgyfaint ‘lungs’, B skañv, Co. scaff ‘light’. The a-vocalism in the Celtic may be explained by a pre-PC root *sKemH-, which in the zero grade would yield PC *skam-. This root is incompatible with PG *skamma-, which may instead be from pre-PG *skabma-, to *skaban- ‘to shave, cut off’.	page:45
Long	rejected			IEW 891, EDPC 338, EDPG 435, 437					A morphological isogloss between PC *siti- ‘length’ and PG *sīda- ‘long’ and PG *sīþu- ‘late’ cannot be upheld because the Celtic continues a zero-grade formation of the PIE root *seh1(i)-‘to let go, send’ while the Germanic continues the full grade. The full grade is shared with Lat. sētius ‘later’.	page:45
Look	rejected			L256					Lane compares OCo. lagat, B lagad ‘eyes’ to OHG luogēn ‘to peer’, OS lōcōn, OE lōcian ‘to see’. However, it is commonly accepted that the Celtic forms, including W llygad, are derived from PIE *leuk- ‘bright’. The Germanic forms go back to PG *lōg-, *lōkk-, which cannot easily be reconciled with this PIE root.	page:46
Lust	rejected			L258, IEW 845, Fleuriot 1964, 220					OB rogedou ‘orgies’, W rhewydd ‘wantonness, lust’ and PG *freka- ‘avaricious’ have been connected. However the Old Breton word is a misreading of imrogalou gl. orgiis. W rhewydd ‘lust’ alone cannot be plausibly connected to the Germanic word; it appears to require a medial *u or *gʷʰ, which is incompatible with the Germanic *k. The Germanic may be connected to Pol. pragnąć ‘to yearn for’, Czech prahnouti ‘to covet’ < *preg( ʷ) -.	page:46
Magic	rejected			L259, EDPC 352, H1, EDPG 421, Ko13					PC *soito- ‘magic’ (W hud) is cognate with PG *saida- ‘bond; magic, charm’ (ON seiðr ‘bond; magic’, and the strong verb síða ‘to work charms’), but also with Lithuanian saĩtas ‘bond; magic’. The formation *s(H)oi-to- may be Indo-European, cf. Skt. sétu- ‘bond, fetter’, with more primary semantics. B hud, which is frequently brought up in this context, is in all likelihood introduced from Welsh by lexicographers.	page:46
Mantle, tunic	rejected			L250, IEW 874, EDPC 315, EDPG 250					W rhuch ‘layer, film, bran; (rough) garment, cloak, mantle’ cannot be cognate with OE roc, OS hrok, OHG rock ‘robe, skirt, coat’ < PG *hrukka-, cf. Old French froc ‘frock’, where PG *hr- was borrowed as fr-. The British word cannot be related to this Germanic formation in any period before the breakup of Proto-Germanic (following IEW). It may be borrowed from a West Germanic dialect in a similar timeframe as the French, although the vocalism with u is unexpected in this scenario. MIr. rucht ‘tunic’ is a glossary word whose final t is unclear.	page:46
Milk	rejected			L256, IEW 722-723					OIr. mlicht, W blith ‘milk’ (PIE *h2mlǵ-ti-) has a root connection to ON mjaltr ‘giving milk’ (PIE *h2melǵ-to-), but the formations are dissimilar. Celtic and Germanic form a noun from the PIE root *h2melǵ- ‘to milk’, OIr. melg ‘milk’ and PG *meluk- ‘milk’. However deriving a *-to-stem in Germanic and a *-ti-stem in Celtic from a verbal root is trivial.	page:46
Mis-	rejected			L262, LEIA M-46					OIr. negative and pejorative prefix mis(s)- has been connected to ON, OE, OS negative prefix mis-, OHG missa-, missi-. However, while the Germanic is from PIE *mith2-to-, cf. Skt. mithita- ‘having become hostile’ and OIr. mis- is only found in a few doubtful examples usually before consonants, the usual form being mí-. This suggests that the OIr. must be reconstructed to a root-final *s, not *ss, and that it is incompatible with the G.	page:46
Monkey	rejected			L264, IEW 2-3, Schrijver 2004, H11, EDPG 31					PC *abanko- (OIr. abac ‘dwarf-like water-creature’, W afanc ‘beaver’) is most likely unrelated to PG *apan- ‘monkey, ape’. (ON api, OE apa, OS apo, OHG affo ‘monkey, ape’). The Insular Celtic material may be parsed as *aban-ko-, a derivative of *abon- ‘river’, explaining the meaning ‘water-creature’ as from ‘pertaining to the water’. The Germanic word has no association with water, and is therefore more likely an early adoption of a Wanderwort meaning ‘monkey’, cf. Gr. κῆβος, κῆπος, Hebrew qōf, Akkadian uqūpu, iqūpu, aqūpu. The appurtenance of the Hesychian ἀβράνας (perhaps for *ἀββάνας), which is glossed as a ‘long-tailed monkey’ among the Celts, is uncertain as it must be emended to resemble the Insular Celtic material, and even then provides an imperfect formal match.	page:46
Mortal	rejected			IEW 260-361, H26					PC *doueno- < OIr. pl. dóini, doíni ‘men’ has been compared to PG *dewana- > Go. diwans ‘mortal’, cf. OHG touwen, OS dōian, ON deyja ‘to die’. However, OIr. doíni may rather be derived from PC *gdon-en- with a later i-stem ending, which also explains why it is suppletive to the singular duine.	page:46
Mound	rejected			IEW 1160-1162, H25, EDPG 601					PC *uer-to- > OIr. fert ‘mound; esp. a mound over a burialplace’ and its derivatives fertae ‘burial mound’, W gwerthyr ‘fort’, gweryd ‘earth, soil; grave’ has been compared with OE weorð ‘place’, weard ‘guarding’, ON varða, varði ‘milestone’ < *(H)uor-to/ti-, vǫrðr ‘warden’ < *(H)uor-tu-. The isogloss is supposed to lie in the uniquely shared morphology, but the ablaut is different and the application of the to-suffix is trivial. The Celtic forms are better connected with PG *wurþi-‘mound, elevation’ < PIE *h2ur-ti-, which is further cognate with Skt. vr ̥ ti- ‘enclosure’, ToA wärt ‘forest’.	page:46
Move 1	rejected			L254, IEW 1046, Schrijver 2003, 20, H90					W chwyfio ‘to move’, chwyf ‘motion’ has been connected with PG *swimman- ‘swim’, but the Welsh is better connected to OIr. scibid ‘moves’. PG *swimman- has also been connected to OIr. to-seinn ‘pursues, drives, hunts’, verbal noun tafann, following Pokorny’s reconstruction *suem-d-n-, but the d-suffix appears ad hoc.	page:46
Move 2	rejected			L262, IEW 853; Cheung 2007, 184					OIr. reb ‘sport, game’, rebrad ‘trick, feat’ and MHG reben ‘to move, stir’, MLG reven ‘to talk nonsense’, may be related, but the semantics are too weak to warrant an isogloss. Moreover, there is a potential cognate in Proto-Iranian *Hrab/f- ‘to go’, cf. Persian raftan ‘to go’, Middle Parthian raf- ‘to engage, fight’.	page:47
Nourisher	rejected			IEW 26-27, EDPC 31, EDPG 21					PC *altro- (OIr. com-altar ‘joint fosterage’, mí-altar ‘bad fosterage’) and PG *aldra- (ON aldr, OE aldor, OS aldar, OHG altar, aldar ‘age, lifetime’) demonstrate the extension of the verb *h2el- with the instrumental suffix *-tro-. However, while the meaning PC *altro- can be derived from that of Lat. alere, OIr. alt ‘to nourish, raise’, the meaning of PG *aldra- ‘age, lifetime’ rather follows from the semantically divergent *alan-‘to grow up’. This incongruity points to independent derivation in each of the two branches.	page:47
Obscene	rejected			L262, IEW 911					A connection between W serth ‘steep, slanted; obscene’ and ON serða ‘to sodomize’, MHG serten ‘to violate’ must be rejected because the Welsh meaning ‘obscene’ is secondary to ‘steep, slanted’, as can be observed by comparison with its verbal derivative syrthio ‘to fall’ and the B serzh ‘steep’.	page:47
Plain, moor	rejected			L253					Ir. macha ‘plain, enclosure for milking cows’ has been connected with ON mór ‘moor’ through an earlier *mākos. However the ON word is in reality rather related to PG *mari ‘sea’.	page:47
Poem	rejected			H8					PC *daunā > MIr. dúan ‘poem’ may be connected PG *tafna-> ON tafn ‘sacrificial animal’, and they may continue an identical PIE formation *dh2p-n-. However, the same formation is also found in Arm. tawn ‘feast’, Lat. damnum ‘cost’, Gr. δαπάνη ‘cost’.	page:47
Praise	rejected			De Bernardo Stempel 2001, H6, KPV 369-371					Gaul. ande-díon uediíu-mi ‘I praise a god’ and Go. in-weitan guþ ‘to praise god’ have been proposed to share a formation whereby PIE *ueid- ‘see’ is combined with semantically similar preverbs to form the meaning ‘praise (a god)’. However, this parallel hinges on the analysis of andedíon uediíumi as having tmesis, whereby the preverb ande and the verb uēdiíumi are separated by díon ‘god’. An alternative interpretation whereby andedíon is interpreted as a single noun followed by a simplex verb would remove the Celtic-Germanic isogloss. Moreover, PIE *gʷʰ probably gives *w- in Gaulish, so it is preferable to connect uediíu-mi to PIE *gʷʰedʰ-io, because this verb is found elsewhere in Celtic, in e.g. OIr. guidid. De Bernardo Stempel rejects the connection with guidid because she analyses guidid as being in the o-grade, however the vocalism of guidid is better explained as the result of raising and rounding in Goidelic: PIE *gʷʰedʰ-ie- > PC. *gʷed-i- > *gʷiði- > *guð’i-> Ir. guid-.	page:47
Protection	rejected			L259, IEW 740-741, EDPC 276, EDPG 375					OIr. muin ‘love, protection, patronage’ and muinter ‘familygroup’ have been connected to OE mund, OHG munt ‘protection’. However, OIr. muin in the meaning of ‘protection’ appears to be specialized use of muin ‘upper back below the neck’, cf. W mynydd ‘mountain’ < *monii̯o-. The Germanic forms, on the other hand, go back to the unrelated *mundō-‘hand’, cf. ON mund, and perhaps Lat. manus ‘hand’. OIr. muinter is from VLat. monisterium ‘monastery, church’.	page:47
Pupil	rejected			L264, Kr141, Wissmann 1961, Riecke 1996, 285, Stifter					2009, 273-274, 122 Otherwise unattested Gaulish derivatives of *sekʷ- ‘to follow’ have been proposed as the sources of Go. siponeis ‘pupil, disciple’ and the hapax OHG seffo Prud. gl. satelles. However the derivation required to arrive to the Gaulish donor form (*sepānios) that could be adopted as Go. siponeis is unparalleled as well as unattested, leaving the assumption of a Celtic origin speculative at best. OHG seffo does not necessarily constitute a Celtic loan either and can alternatively continue an n-stem to PG *safjan- ‘to perceive’ or *sapjan-, cf. MHG sepfen ‘to join, ally oneself with’ (cf. Riecke).	page:47
Reach	rejected			L263, IEW 1057-1058, LEIA T41–42, EDPG 536					OIr. techtaid ‘to own’ and B tizhout ‘to reach, overtake’ have been connected with PG *þegjan- ‘to request’. However, the semantic distance is considerable and the Germanic word has a preferable cognate in Lith. tenkù, tèkti ‘to reach for, suffice’ through a root *tek-. In addition, it is highly likely that the Celtic forms are instead derived from the root *steigʰ- (LEIA), cf. OCS po-stignǫti ‘to attain, catch up with, grasp’.	page:47
Ready	rejected			L262, IEW 861, H70					The PIE root *(H)reidʰ- ‘to drive’ is continued as i-stem adjectives meaning ‘ready’ in Celtic and Germanic. However the meaning ‘ready’ is also found in Latv. raids and usage as an i-stem is rather trivial.	page:47
Reject, bud	rejected			L261, IEW 169, EDPG 76, 81					OIr. fris-brudi ‘rejects, refuses’ < *brud-ī- and PG *breutan-‘to break open, bud’ (ON brjóta, OE brēotan) cannot be reconciled to a single root. The variant OE brēoðan ‘to break’ implies that the primary root was *bʰreut- in pre-PG, and that the root-final consonantism of *breutan- is secondary from a geminate *-tt- (Kluge’s law), probably adopted from the iterative *bruttōn-. PC *brud-ī- requires PIE root-final *-d- or -dʰ-. The semantic connection is furthermore tenuous at best.	page:48
Right	rejected			L261, IEW 189-191, EDPC 97					The *-uo- suffix in PC *dexs(i)uo- ‘right’ and PG *tehswō(n)-‘right’ has been suggested to be CG, but Gr. δεξιός ‘right (side)’ < *deḱsiuo- (cf. Myc. PN de-ki-si-wo, Pamphyl. δεξιϝος) is formed identically.	page:48
Ring, clasp	rejected			L250, IEW 758, EDPC 282, EDPG 235					OIr. nasc ‘ring’, naiscid ‘binds, fastens’ and OHG nusca ‘clasp’ (whence OFr. nouche, MoE ouche) have been inferred as CG cognates. However, OIr. nasc ‘ring’ is deverbal from naiscid (B naskañ ‘to tether’), cf. the corresponding verbal noun naidm, and derives from the PIE root *neHd- ‘to tie’. The Germanic forms, on the other hand, are possibly derived from *hneudan- ‘to rivet’ (implying PG *hnudsk(j)ōn-), which cannot be cognate with *neHd- for evidentformal reasons.	page:48
Road	rejected			L255, Kr140, IEW 908, SBCHP 29, EDPC 330, H73,					EDPG 437 PC *sentu- ‘road’ (OIr. sét), PG *sinþa- (OE sīð ‘journey, way, course’) have been mentioned as a potential isogloss, but ToA ṣont ‘road’ provides a perfect morphological and semantic match with the Celtic.	page:48
Rock	rejected			IEW 678, 683, EDPC 134, 242, EDPG 325					PG *lajō- ‘rock, slate’ (OFri. laie, MDu. leye ‘slate’, OS leia, MHG leie ‘rock’) cannot be cognate with or borrowed from PC *ϕlikkā ‘stone’ (OIr. lecc ‘slab’, W llech, B lec’h ‘slate’). A connection with OIr. lía, acc. liaic ‘stone’ is equally problematic: it is a disyllabic nk-stem, suggesting PC *leϕank-, possibly with a root connection to Lat. lapis, gen. -idis, Gr. λέπας ‘stone’, or perhaps PC *līuank-, cf. Gr. λᾶας ‘stone’.	page:48
Roof	rejected			L250, Kr140, IEW 1013-1014, EDPC 376, 382, EDPG 531					PC *togo- ‘roof’ and Germanic *þaka- ‘roof’ identically continue an o-grade thematic stem *togo- of the PIE root *(s)teg-‘to cover’, as opposed to e.g. Lat. tectum ‘roof’, but Lith. stógas ‘roof’ also continues the o-grade, albeit with s-mobile.	page:48
Rushes, twig	rejected			L252, IEW 174					A deep Celtic-Germanic connection between W brwyn, OCo. brunn-en, B broenn ‘rushes’ and OE brogn(e) ‘twig, bush’, Nw. brogn ‘raspberry shrub’ is unlikely. The Norwegian connection must be rejected because it appears cherry-picked from a cluster whose variants are irreconcilable with the Celtic: bragn is also found, and a connection with Standard Nw. bringe-bær ‘raspberry’ separates it even further from the Celtic. OE brogn(e) may be a borrowing from Brittonic in the early first millennium CE.	page:48
Sacred grove	rejected			L260, Kr139, Sahlgren 1953, EDPC 288, H7 Ko14					A Celto-Germanic morphological isogloss between PC *nemeto- (Gaul. νεμητον, OIr. nemed ‘sacred grove, sanctuary’) and nimidas ‘sacred grove’, a hapax attested in the Indiculus superstitionum et paganiarum. This nimidas may be Old Saxon or Old Low Franconian, but could ultimately be a West Germanic loan from Gaulish and hence fall outside the scope of this study. The Swedish farm name Nymden, whose original meaning is unclear, does not necessarily belong here.	page:48
Settlement	rejected			L250, IEW 1090, Pl283, EDPC 338, EDPG 553, Ko12					PC *trebā ‘settlement’ is cognate with and semantically identical to PG *þurpa- ‘settlement’. It is noted that in other languages (cf. Lith. trobà ‘house’) it refers to a single building, while Celtic and Germanic share a semantic extension to settlements of more than one building. However, the primary meaning of the Celtic appears to be ‘farm with surrounding buildings’, the ablaut grades differ between Celtic and Germanic, and the shift from ‘farm’ to ‘village’ is trivial, cf. Lat. villa ‘country house, farm’ to French ville ‘town’.	page:48
Shadow	rejected			L262, IEW 957					PC *skāto- ‘shadow’ (< *ske/oh3-to-) has been considered a semantic isogloss with PG *skadu- ‘shadow’ (< *skh3-tú-), and contrasted with Gr. σκότος (< *skh3-(e)to-) ‘darkness’, but the semantic difference seems trivial. Moreover, the Celtic and Germanic forms go back to two separate formations.	page:48
Shake	rejected			L253, IEW 152-153					MIr. bocaid ‘softens, shakes’, from MIr. boc, MoIr. bog ‘soft’ < *bo/uggo-, has been compared to OE cwacian ‘to tremble’, cweccan ‘to turn, shake’ < *kwak(ō)jan-. However this is semantically unconvincing, because the meaning ‘to shake’ is derived from ‘soft’ in Goidelic. The Germanic verbs may be sound-symbolic in origin and may not go back to Proto-Germanic being only attested in English.	page:48
Shape, manner	rejected			L260, IEW 522, 597					A CG o-grade and derivation in *-tu- of the PIE root *ḱek- ‘to help, be able’ have been proposed for OIr. cucht ‘shape, form, color’ and ON hǫ́ttr ‘habit, mode, manner, meter’ < *hahtu-. However this morphology would have resulted in OIr. **cocht, because raising of o to u does not occur before -cht, cf. OIr. ocht ‘eight’ < PC *oxtū-. The Irish requires a root with *u in it instead, e.g. *ḱeuk- ‘to shine’.	page:49
Shield	rejected			L247, H52					OIr. clíab ‘basket, wicker frame’ and ON hlíf ‘shield, protection’, OHG līpen, līppen ‘to protect’, Go. hleibjan ‘to take good care of’ are formally reconcilable as a shared root, but this is semantically far-fetched both in Celtic and in Germanic. A proposed older meaning of clíab as ‘shield (of wickerwork)’ is not based on any further evidence, and the meaning ‘shield’ in Germanic appears derived from ‘to protect, to take care of’, and not the other way around.	page:49
Shining	rejected			L259, IEW 429-434					A CG expansion of PIE *ǵʰel- ‘to shine’ in *ǵʰlus-(tu-) is proposed for OIr. glus ‘light’ and ON glys ‘finery’, MHG glosten, glosen ‘to glow, shine’. However, OIr. glus outside compounds is only attested in glossaries, and must be back-formed from compounds such as íarnglús ‘afterglow, elderniness’, soglus ‘bright light’. The second member of these compounds is most likely a derivative in *-stu- of OIr. glé ‘clear, bright’, which is unrelated to the Germanic word.	page:49
Shirt	rejected			Kr142, Schm143, Schu176					OCo. heuis gl. colobium, B hiñviz ‘shirt’ are borrowed from early reflexes of PG *hamiþja- ‘shirt’ (OS hemithi, OHG hemidi, OE hemede), but this borrowing most likely postdates Proto-Germanic, and therefore falls outside of the scope of this study. It was borrowed as Lat. camisia ‘shirt’ around the same period.	page:49
Slave	rejected			L246, IEW 527-528					The semantic shift of PC *kaxto- and PG *hafta- from ‘grasped, seized’ to ‘slave, prisoner, captive’ has been described as Celto-Germanic. The Latin term with the most similar meaning would be captīvus, rather than the exact cognate captus ‘grasped, seized’. However captus may also refer to prisoners and captives. Moreover, W caeth used as an adjective may mean ‘tight, close, strict’ in addition to ‘bond, captive’ and thus preserves the original meaning ‘grasped’.	page:49
Slender	rejected			L262, IEW 1047, EDPC 358, H89					OIr. seng ‘slender’ < PC *su(a/e)ngo- and MHG, MLG swanc ‘slender’ < PG *swanka- have been argued to contain a CG root *sueng- ‘to bend’. However, Skt. svájate, ‘embraces’, fut. svaṅkṣyate must also be from *sueng-. The meaning ‘slender’ is shared, but this innovation is trivial from the perspective of the original meaning ‘to bend’, because bendable objects are by definition slender. The Irish word does not need to derive from *suengo-, but could equally well begin with *s-, *sp-, or *st-. It is only the suggested etymology that supports a reconstruction with *su -. A different root connection incompatible with Germanic could be with PC *stung-o- ‘to bend’, which in the full grade would give *stuengo- > OIr. seng.	page:49
Snare, sling	rejected			L248, IEW 1062, Blöndal 1989, 1181, EDPC 377, H53					PG *þelman- (OE þelma ‘trap’, Icel. þjálmi ‘snare’) is formed identically to Gr. τελαμών ‘leather strap’, both from a PIE root *telh2- ‘to bear, endure’ expanded with *-mn-. This word is probably not related to OIr. teilm, tailm ‘sling’ < PC *telmi-, because the root-final laryngeal would vocalize giving OIr. **talaim. B talm ‘sling’, W telm ‘snare, trap’ contain an -lmcluster that cannot be inherited from PIE *lm, so they must be borrowed from OIr., or perhaps from OE þelma ‘trap’.	page:49
Sneak	rejected			L255, IEW 974, EDPC 349					Ir. snighid ‘creeps, crawls’ has been connected to PG *snīgan-‘to crawl, creep’. However the Irish primarily means ‘to pour down, flow, drip’. Its ancestor OIr. snigid ‘drips, flows’ does not carry the semantics ‘creep, crawl’ at all, and is from PIE *sneigʷʰ- ‘to snow’.	page:49
Soap	rejected			Kr142, IEW 894, Birkhan 1970, 248-250, EDLI 550					PG *saipwōn-, saipjōn- ‘soap’ has been argued to have been borrowed into Celtic because Pliny the Elder’s Natural History (Book 28, 51) describes sāpō ‘soap’ as an invention from the Gallic provinces. However, no descendant of sāpō is continued in Insular Celtic, so Lat. sāpō is best considered a loanword from Germanic. W sebon ‘soap’ may be a borrowing from Old Low Franconian or primitive Old Frisian, which underwent PG *ai > *ē.	page:49
Soft	rejected			L261, IEW 661-662					MIr. lían ‘soft’ and ON linr ‘soft, gentle, weak’, MHG lī̆n, gen. -wes ‘tepid, exhausted, bad’ and Bavarian len ‘soft, exhausted, unsalted’ < *lī̆nwa- appear similar. However, the (rare) Irish word may be a borrowing from Lat. lēnis ‘soft’. Even if it is inherited from PIE, it has a perfect cognate in Lith. leĩnas ‘lithe, slender, flexible’ < *leino-.	page:49
Spear	rejected			L248, IEW 681-682, H43					W llost ‘tail, spear’, B lost ‘tail’, Ir. loss ‘end, tail’ has been connected with ON ljóstr ‘fish-spear’, ljósta ‘to strike’, but the meaning ‘tail’ rather than ‘spear’ is primary in Celtic and therefore presumably older; the transferred sense ‘spear’ is only found in Welsh. The Celtic forms are masculine in Irish and Breton and feminine in Breton, so a reconstruction to masculine PC *losto- rather than feminine *lustā is to be preferred. This masculine proto-form is formally irreconcilable with the Germanic forms, which build on a root *leust-.	page:50
Speckled	rejected			Marstrander 1910, 371-373, L251, IEW 28, 30-31,					EDLI 24 Ir. and ScG ala ‘speckled; trout’ (Kerry?), MIr. alad ‘speckled, piebald’, ScG àladh ‘speckled, variegated’ < PC *aladoand OHG alant, alunt ‘ide’, ON ǫlunn ‘mackerel’ < PG *alunþa- have been alleged to contain a CG semantic shift of a root *h2el- ‘to burn’ > ‘be speckled’, and perhaps thence to ‘speckled fish’. However, the meaning ‘trout’ is apparently restricted to dialectal modern Irish, and clearly developed from ‘variegated’. A semantic shift to ‘speckled’ is otherwise unattested in Germanic, cf. Sw. dial. (Småland, Kalmar län) ala ‘to smolder’, and the existence of a PIE root *al- (*h2el-) ‘to burn’ is itself doubtful.	page:50
Steep	rejected			IEW 170-171, EDPG 74					A connection between PG *branta- ‘high, steep’ and W bryn ‘hill’ has been suggested, but the Welsh word is rather connected to OIr. bruinne ‘breast’ < Pre-PC. *brusnio- (cf. W bron ‘breast; hill-side, slope’), which means it is incompatible with the Germanic.	page:50
Stem	rejected			L262–263, LEIA TU-25, IEW 1004-1010					OIr. tamon ‘stump, tree trunk’ and OHG stam, ON stafn ‘stem’ both continue PIE *(s)th2-mn- from root *(s)teh2- ‘to stand’. However the formation is found in many languages, e.g. Lat. stāmen ‘warp (of loom)’, and the semantics look archaic in view of ToA ṣtām, В stām ‘tree’. OIr. tamon can also be derived from *temh1-no- ‘cut-off thing’.	page:50
Stream	rejected			L252, IEW 161, EDPG 140-141, eDIL					OIr. búal ‘water; healing’ is compatible with a reconstruction PC *boglā ‘stream’, which may then be compared to PG *bakja- ‘creek’. However the OIr. appears to be a glossary word back-formed to búalad ‘bathing, healing, curing’, itself a verbal noun of búailid ‘strikes’ with semantic narrowing, as eDIL suggests. A third possibility is that OIr. búal was somehow back-formed to fúal ‘urine, foul water’. Even if búal were related to PG *bakja-, ORu. bagъno ‘mud, marsh’ provides a potential non-Celtic cognate (pace IEW). Alternatively, the Germanic word has been derived from *bʰogʷ-io-, i.e. a io-stem to the PIE root *bʰegʷ- ‘to run’.	page:50
Strike, wound	rejected			L248, IEW 491-493, H58, H61, EDPG 599					PC *gʷan-o- ‘to strike’ and PG *wunda- ‘wound’ have been considered lexemes restricted to Celtic and Germanic. However both go back to the PIE root *gʷʰen- ‘to strike’, cf. Hittite ku̯ enzi ‘id.’.	page:50
Tale, poet	rejected			Lidén 1891, 507-508, Wadstein, 1895, L258, IEW 897-					898, Blöndal 1989, 826, H14 OIr. scél ‘tale’, W chwedl ‘saying, fable’ and (late) ON skáld have been adduced to hypothesize a shared element PC *skʷetlo- ~ PG *skʷētlo- (the latter with vṛddhi) derived from the PIE root *sekʷ- followed by the abstract suffix *-etlo-. However, despite secondary derivations such as skældinn ‘skilled in poetry’, the long vowel of skáld is probably secondary due to the regular twelfth-century lengthening of back vowels before -lC-, which renders this analysis formally problematic. The older form skăld can alternatively be a derivation of the PG strong verb *skeldan- ‘to announce, reproach’; this derivation seems preferable because it has intra-Germanic cognates in OHG skelto, MHG schelte ‘blamer, criticizer, satirist’.	page:50
Talk	rejected			L257, IEW 831, EDPC 231					A connection between OIr. labar ‘talkative’, OIr. labraithir ‘to speak’, W llafar ‘loud, talkative’, W llefaru ‘to speak’ and LG flappen ‘to gossip’, ME flappen ‘to hit’ has been proposed, but a sound-symbolic origin is to be preferred. Since these types of words are constantly reinvented, one cannot base an isogloss on them, cf. Du. babbelen ‘to chatter’, Swiss German plapperen ‘to attempt to speak (as a baby)’.	page:50
Thunder	rejected			IEW 1021, EDPC 384					PC *tonaro- > *torano- ‘thunder’ and PG *þunra- ‘thunder’ identically continue formations of PIE *(s)tenH- ‘thunder’ expanded with *-r-, but this appears shared with MoP tundar ‘thunder’.	page:50
Tip 3	rejected			EDPG 141, Stifter 2018, fn. 10					OIr. ind, inn ‘end, tip, top’ and PG *fin(n)ōn- (OSw. fina ‘fin’, MDu. vinne ‘fin, wing, prickle, awn’) could point to a CG *pinno-. However there is a single early attestation of ind in the Milan Glosses (45d19), which requires a PC reconstruction with *-nd-, removing the isogloss.	page:50
Top	rejected			L260, IEW 96-97, EDPC 54					OIr. benn ‘peak, horn’ and MW bann ‘beacon, peak, top’, B bann ‘peak’ may go back to PC *ban(d)nā. The Gaulish reflex of this root is borrowed into Occitan bano ‘horn’. Even if the Celtic is formally compatible with OE pintel ‘penis’, the semantics do not convince. MLG pinne ‘pin’ is most likely from Lat. penna ‘feather’.	page:51
Tower	rejected			Kr141, Pl283					Gaul. celicnon ‘?temple’ and Go. kelikn ‘tower, upper room’ may be a borrowing from Gaulish into Gothic, but this borrowing, if accepted, most likely postdates the Proto-Germanic period in view of the restriction to both Gothic and Gaulish. The Gothic word has been compared to MP kl’k ‘fortress’ and derived forms in Georgian, Armenian and Ossetic.	page:51
Tree 1	rejected			L253, IEW 873, Stifter 1998					OIr. rúaim ‘water alder, alder tree’ and OHG ruzboum, ruost, MoHG rüster ‘elm’ do not constitute an isogloss. The Irish is most likely related to OIr. rúam ‘red dye’ < PIE *h1reudʰsmon- from *h1reudʰ- ‘to redden’, and the Germanic word has a different suffix and appears to have PG *-ō-.	page:51
