normalized_occurrence_id	source_id	form_raw	normalized_form	search_key	script	form_type	language_guess	language_normalized	gloss_or_translation	gloss_normalized	printed_page	pdf_page	section_or_chapter	source_pattern	quality_flags	context	resolution_status	resolution_action	include_in_unique	human_collation_note
WATKINS-NFORM-00346	WATKINS-FORM-01130	ἐναρίμβροτος	ἐναρίμβροτος	enarimbrotos	greek	Greek_form	Greek	Greek		man-slaying, man- killing	368	385	36. The myth in Greece: Variations on the formula and theme	unicode_greek_span		"rmula has taken the Homeric epithet and deftly created out of it the setting for a ""slayer slain"" theme. Both the compound verb ὑπερέφθιτο 'perished for, died for' and the epithet ἐναρίμβροτος 'man-slaying, man- killing' are as far as we can tell creations of Pindar himself, and they stretch the limits of syntax and morphology alike. But their effect is to recreate the ancient theme and formula fa"	not-suspect		true	
WATKINS-NFORM-00347	WATKINS-FORM-01134	ἐναρίμβροτος	ἐναρίμβροτος	enarimbrotos	greek	Greek_form	Greek	Greek			369	386	36. The myth in Greece: Variations on the formula and theme	unicode_greek_span		rasing of the latter has in a sense a potential synchronic existence from the time of the creation of that of the former, and can be realized at any point. Just so the creation of ἐναρίμβροτος in 490 on the model of μάχα φθεισίμβροτος presupposed the intermediate formula μάχα ἐναρίμβροτος, even though the latter surfaces only in 478 (Isthmian 8). It is in this sense that I would interpret Nagy's n	not-suspect		true	
WATKINS-NFORM-00348	WATKINS-FORM-01118	ἐναρίμβροτου	ἐναρίμβροτου	enarimbrotou	greek	Greek_form	Greek	Greek			368	385	36. The myth in Greece: Variations on the formula and theme	unicode_greek_span		), ἷνας ἐκταμὼν (Il. 17.522 ἷνα τάμῃ διά 'cut through the sinew'),... μάχας ... ἔργον κορύσσοντα (//. 2.273 πόλεμόν τε κορύσσων 'marshalling war'). The immediate model for (μάχας) ἐναρίμβροτου, as noted already by Frisk (GEW s.v. ἔναρα), is //. 13.339 μάχη φθεισίμβροτος 'man-destroying war', following ἐναιρέμεν ὀξέϊ χαλκῷ at the end of the immediately preceding line 338 (and cf. Od. 22.297, of Ath	not-suspect		true	
WATKINS-NFORM-00349	WATKINS-FORM-01107	ἐνάριξεν	ἐνάριξεν	enarixen	greek	Greek_form	Greek	Greek			366	383	36. The myth in Greece: Variations on the formula and theme	unicode_greek_span		basic formula with the same language; (πρόσ)οδος, ἁμαξιτός, like the 'shortcut' (οἶμος βραχύς) of Pyth. 4.247- 50.11 The HERO1 Achilles, named only in the preceding clause, SLEW (ἐνάριξεν) HERO2 (Memnon) with a WEAPON (ἀκμᾶι ἔγχεος). That Pindar uses the verb here as a variant of is indicated by the use of the latter in the reference to the same myth in the earlier ode Isth. 5.39-4	not-suspect		true	
WATKINS-NFORM-00350	WATKINS-FORM-01133	ἐνάριξεν	ἐνάριξεν	enarixen	greek	Greek_form	Greek	Greek			369	386	36. The myth in Greece: Variations on the formula and theme	unicode_greek_span		, but passive-equivalent verb 'died = was killed' (-έφθιτο) for Antilokhos, which requires the expression of the killing of Memnon at the hands of Achilles by the same active verb ἐνάριξεν. That 25 years of Pindar's active creative life would elapse between his Pythian 6 (490 B.C.) and Nemean 5 (465 B.C.) is an interesting fact, but not necessarily a surprising one. The phrasing of the latter has	not-suspect		true	
WATKINS-NFORM-00351	WATKINS-FORM-02603	end of a classic two-verse danastuti	end of a classic two-verse danastuti	end of a classic two-verse danastuti	latin-script	attested_or_cited_form	Greek	Greek	gift-praise	gift-praise	514	531	55. The song of victory in Greek	form_plus_single_quote_gloss		"rivals; Indra and Agni, you two live. ``` The form is identical with the basic formula, just as in Greek. A ""proleptic"" paeanic line occurs in RV 6.63. l0d, at the end of a classic two-verse danastuti 'gift-praise', the praise by the poet of the gifts of his patrons for the poem: hata raksarhsi purudamsasa syuh ```text Slain may the demons be, o you two of the many"	not-suspect		true	
WATKINS-NFORM-00352	WATKINS-FORM-00977	ἡνίαι	ἡνίαι	eniai	greek	Greek_form	Greek	Greek			7	24	1. The comparative method in linguistics and poetics	unicode_greek_span		ly two traditions, Old Irish and Greek; but in both the one term is specifically linked to charioteering in the earliest texts. We find in Homeric Greek of the 8th century heniai (ἡνίαι) 'reins' and heniokhos (ἡνίοχος) 'charioteer', literally 'reins-holder', which faithfully continue the forms of the same words 500 years earlier in the Bronze Age, Mycenean Greek anija 'reins' and anijoko 'chariote	not-suspect		true	
WATKINS-NFORM-00353	WATKINS-FORM-00978	ἡνίοχος	ἡνίοχος	eniochos	greek	Greek_form	Greek	Greek			7	24	1. The comparative method in linguistics and poetics	unicode_greek_span		nd Greek; but in both the one term is specifically linked to charioteering in the earliest texts. We find in Homeric Greek of the 8th century heniai (ἡνίαι) 'reins' and heniokhos (ἡνίοχος) 'charioteer', literally 'reins-holder', which faithfully continue the forms of the same words 500 years earlier in the Bronze Age, Mycenean Greek anija 'reins' and anijoko 'charioteer, reins-holder'. Their only	not-suspect		true	
WATKINS-NFORM-00354	WATKINS-FORM-01004	ἐπαοιδάς	ἐπαοιδάς	epaoidas	greek	Greek_form	Greek	Greek			44	61	3. Poetics as grammar: Typology of poetic devices and some rules of poetic grammar	unicode_greek_span		nd sound (the English, and L. sane sarteque) whole and roofed (Latin sarcta tecta) prayers and incantations (Greek λιτάς τ' ἐπαοιδάς) Qualifier formulas have as their function to intensify the Argument. Both litotic 'safe and undisturbed' and non-litotic 'safe and sound' are equivalent to 'very safe', though the two are not necessarily styli	not-suspect		true	
WATKINS-NFORM-00355	WATKINS-FORM-01163	έπεφνε	έπεφνε	epephne	greek	Greek_form	Greek	Greek			400	417	41. The saga of Iphitos and the hero as monster	unicode_greek_span		ouse: Laios begot his own doom, 'father-killing Oedipus', who (Sept. 783) with ``` father-slaying hand, 3. This is one of only three examples of (κατ)έπεφνε in all of Sophocles. For the others see chapters 44 and 53. <!-- pdf-page: 418; printed-page: 401 --> reft himself of the eyes that were dearer to him than his children. The phrase is then echoed by (788-9), wit	not-suspect		true	
WATKINS-NFORM-00356	WATKINS-FORM-01169	ἔπεφνε	ἔπεφνε	epephne	greek	Greek_form	Greek	Greek			406	423	41. The saga of Iphitos and the hero as monster	unicode_greek_span		with his shafts. ```text Two formulaic features of the Iphitos episode remain to be examined. The first is a comparative syntactic remark. We saw above that the verb form ἔπεφνε was the main verb of the conclusion (lines 35-8) of the episode, which formed a ring- composition with the beginning (lines 11-14). The verb ἔπεφνε has no counterpart in 11-14, but it does in the noun φόνος 'murde	not-suspect		true	
WATKINS-NFORM-00357	WATKINS-FORM-01170	ἔπεφνε	ἔπεφνε	epephne	greek	Greek_form	Greek	Greek			406	423	41. The saga of Iphitos and the hero as monster	unicode_greek_span		We saw above that the verb form ἔπεφνε was the main verb of the conclusion (lines 35-8) of the episode, which formed a ring- composition with the beginning (lines 11-14). The verb ἔπεφνε has no counterpart in 11-14, but it does in the noun φόνος 'murder, death, bane' in 24. Iphitos came to recover his mares, but ``` but thereafter these became his death and doom. ```text In (+ da	not-suspect		true	
WATKINS-NFORM-00358	WATKINS-FORM-01102	ἔπεφνεν Γοργόνα	ἔπεφνεν Γοργόνα	epephnen gorgona	greek	Greek_form	Greek	Greek			364	381	36. The myth in Greece: Variations on the formula and theme	unicode_greek_span		gon is the first myth we have that he narrated. And there in Greek is precisely our Vedic dhann dhim, down to the very word order. Combining the syntagms ὀφιώδεος ... Γοργόνος and ἔπεφνεν Γοργόνα we can restore the real mythographic formula, just below the surface: he slew the serpent. Note again, just as in the case of Vedic dhann dhim, the absence of an overt subject and the presence of a phon	not-suspect		true	
WATKINS-NFORM-00359	WATKINS-FORM-01315	ἐπέφνομεν	ἐπέφνομεν	epephnomen	greek	Greek_form	Greek	Greek			510	527	55. The song of victory in Greek	unicode_greek_span		gy 1979:79. Achilles is here intoning the first four lines of a paean in paroemiacs: The cataphoric, discourse-initial verb in the first line as well as the verse-initial form of ἐπέφνομεν is characteristic of the paroemiac verse, as is the variable syllable length 1. The paean is not restricted in function to a song of victory or thanksgiving for deliverance, nor are its formal features easily	not-suspect		true	
WATKINS-NFORM-00360	WATKINS-FORM-01321	ἐπέφνομεν Ἕκτορα δῖον	ἐπέφνομεν Ἕκτορα δῖον	epephnomen ektora dion	greek	Greek_form	Greek	Greek			513	530	55. The song of victory in Greek	unicode_greek_span		"the narration of the boyhood deeds of Achilles—a theme inherited from Indo-European times:6 ``` He would do slaughter and slay boars... killing deer. The diction of the Homeric ἐπέφνομεν Ἕκτορα δῖον was lasting in Greek. The proof lies in a ""real"" paean (PMG 858), preserved in a fragmentary papyrus, a paean to the East Wind Euros who is invoked as 'savior of Sparta'.7 It consists of 19 paroemia"	not-suspect		true	
WATKINS-NFORM-00361	WATKINS-FORM-01326	ἐπέφνομεν Ἕκτορα δῖον	ἐπέφνομεν Ἕκτορα δῖον	epephnomen ektora dion	greek	Greek_form	Greek	Greek			521	538	56. From dragon to worm	unicode_greek_span		"asic formula of ahann ahim 'he slew the serpent' and its congeners is a proclamation of victory, a paean: 'Slain are your fathers' hatdsovampitdras, 'We have slain godlike Hector' ἐπέφνομεν Ἕκτορα δῖον"". The most powerful force in the world view of the Indo-Europeans was the spoken word (chap. 6). If the dragon or serpent is conceived of as a monstrous sort of worm, then the mythographic formula,"	not-suspect		true	
WATKINS-NFORM-00362	WATKINS-FORM-01132	έφθιτο	έφθιτο	ephthito	greek	Greek_form	Greek	Greek			369	386	36. The myth in Greece: Variations on the formula and theme	unicode_greek_span		ogic of the bidirectional, reciprocal basic formula, asymmetrically loaded with active epithet for Memnon 'man-killing' (ἐναρι-), but passive-equivalent verb 'died = was killed' (-έφθιτο) for Antilokhos, which requires the expression of the killing of Memnon at the hands of Achilles by the same active verb ἐνάριξεν. That 25 years of Pindar's active creative life would elapse between his Pythian 6	not-suspect		true	
WATKINS-NFORM-00363	WATKINS-FORM-02052	epic and hymnic practice of ἀείδω	epic and hymnic practice of ἀείδω	epic and hymnic practice of aeido	mixed-greek-latin	Greek_form	Greek	Greek	I sing	I sing	248	265	23. More Strophic structures	form_plus_single_quote_gloss		; printed-page: 248 --> ishamihhiy=an KU.BABBAR-an sanizzif I sing of him, Silver the unique (?). Whether there is a connection between these Hittite Isg. forms and the Homeric epic and hymnic practice of ἀείδω 'I sing' / ἄρχομ’ ἀείδειν 'I begin to sing' is not known, but it is not impossible. We now have the recently published text (KUB 32.10-104) of the lengthy Human-Middle Hittite bilingual	not-suspect		true	
WATKINS-NFORM-00364	WATKINS-FORM-02464	epithet of Lydian warriors, and ἄμιτρος	epithet of Lydian warriors, and ἄμιτρος	epithet of lydian warriors and amitros	mixed-greek-latin	Greek_form	Greek	Greek	ungirdled	ungirdled	437	454	44. Thor's hammer and the mace of Contract	form_plus_single_quote_gloss		mivra (a-)mitra, ``` both with jan-/han-. These have been compared, speculatively, with Homeric Greek μίτρη, a piece of armor girded around one, ἀμιτρο-χίτωνες, epithet of Lydian warriors, and ἄμιτρος 'ungirdled' (i.e. not of marriageable age) in Callimachus. Formally the equations are perfect; but they seem to suppose a basic root meaning of 'bind, tie' and a lengthy semantic h	not-suspect		true	
WATKINS-NFORM-00365	WATKINS-FORM-01140	ἔπομαι δὲ καὶ αὐτός	ἔπομαι δὲ καὶ αὐτός	epomai de kai autos	greek	Greek_form	Greek	Greek			369	386	36. The myth in Greece: Variations on the formula and theme	unicode_greek_span		system which is far older than he. In the passable way (ὅδον ἁμαξιτόν) discovered of yore (παλαίτεροι ... εὗρον), the shortcut which Pindar knows (οἶμον ἴσαμι βραχύν) and follows (ἔπομαι δὲ καὶ αὐτός) to be a leader in poetic art (ἄγημαι σοφίας), we have the answer to Helmut Rix's question,12 'How did Pindar learn Indo-European poetics?' Pindar learned the formulas that vehicled in unbroken fashio	not-suspect		true	
WATKINS-NFORM-00366	WATKINS-FORM-02331	equation with Vedic vajrah/ Avestan vazro	equation with Vedic vajrah/ Avestan vazro	equation with vedic vajrah/ avestan vazro	latin-script	attested_or_cited_form	Greek	Greek	WEAPON	WEAPON	411	428	42. The name of Meleager	form_plus_single_quote_gloss		- # then the link must be semantic, and therefore *(-); must have been perceived as containing - 'break'. If so, then either *(-) forms an equation with Vedic vajrah/ Avestan vazro 'WEAPON' or is wholly independent. In view of the clear association of the Greek root - with the WEAPON in these contexts, variants of the basic formula (,	not-suspect		true	
WATKINS-NFORM-00367	WATKINS-FORM-02262	equivalent of πέφνε δράκων	equivalent of πέφνε δράκων	equivalent of pephne drakon	mixed-greek-latin	Greek_form	Greek	Greek	the dragon slew	the dragon slew	361	378	36. The myth in Greece: Variations on the formula and theme	form_plus_single_quote_gloss		"ermanic, can also alone carry the full weight of the inherited formula. Aeschylus likens the Persian monarch to a murderous dragon: nominal φόνιος δράκων is the ""transformational"" equivalent of πέφνε δράκων 'the dragon slew' (Pers. 81-2): ```text In his eyes lazuli flashing like a snake's murderous glances. ``` S. Bernadete's translation perfectly renders the Greek mete"	not-suspect		true	
WATKINS-NFORM-00368	WATKINS-FORM-01052	ἐρᾶι	ἐρᾶι	erai	greek	Greek_form	Greek	Greek			166	183	13. An Indo-European stylistic figure	unicode_greek_span		ἔρως δὲ γαῖαν λαμβάνει γάμου τυχεῖν Holy heaven yearns to wound the earth, and yearning seizes earth to join in mating. ``` Note that ἐρᾶι (Vi) and ἔρως (Ni) follow the left hand verse boundary, and λαμβάνει, the V of (Ni + V), follows the caesura of the second of these unresolved, powerful isosyllabic trimeter lines, the beginning of Aphrodite's vindi	not-suspect		true	
WATKINS-NFORM-00369	WATKINS-FORM-01051	ἐρᾶι μὲν ἁγνὸς οὐρανὸς τρῶσαι χθόνα ἔρως δὲ γαῖαν λαμβάνει γάμου τυχεῖν	ἐρᾶι μὲν ἁγνὸς οὐρανὸς τρῶσαι χθόνα ἔρως δὲ γαῖαν λαμβάνει γάμου τυχεῖν	erai men agnos ouranos trosai chthona eros de gaian lambanei gamou tuchein	greek	Greek_form	Greek	Greek			166	183	13. An Indo-European stylistic figure	unicode_greek_span		lelism. Sentence or discourse-initial position are particularly frequent and again call attention to the figure. A striking example is Aeschylus f. 44.1-2: ```text ἐρᾶι μὲν ἁγνὸς οὐρανὸς τρῶσαι χθόνα ἔρως δὲ γαῖαν λαμβάνει γάμου τυχεῖν Holy heaven yearns to wound the earth, and yearning seizes earth to join in mating. ``` Note that ἐρᾶ	not-suspect		true	
WATKINS-NFORM-00370	WATKINS-FORM-01158	έργω	έργω	ergo	greek	Greek_form	Greek	Greek			388	405	39. Hermes, Enualios, and Lukoworgos: The Serpent-slayer and the Man-slayer	unicode_greek_span		and archaic occurrence in the basic formula is surprising, the 8. The name originally had a digamma, with retracted accent from a luko-worgos 'shutting out the wolf, to (ἐ]έργω (Frisk, Chantraine) ``` <!-- pdf-page: 406; printed-page: 389 --> more so since the passage as a whole, Diomedes' homiletic address, is a unified whole, demarcated by a near-repetition at beginning and end. The met	not-suspect		true	
WATKINS-NFORM-00371	WATKINS-FORM-01189	ἐριδμαίνωσιν ἔϑοντες	ἐριδμαίνωσιν ἔϑοντες	eridmainosin ethontes	greek	Greek_form	Greek	Greek			410	427	42. The name of Meleager	unicode_greek_span		.259ff., where the Myrmidons pouring forth into battle with Patroklos are likened to a swarm of wasps that boys in their foolishness (παῖδες... νηπίαχοι) smite and goad into fury (ἐριδμαίνωσιν ἔϑοντες). Here too we have a variant of the basic formula: the foolish boys are ANTI-HEROES who SMITE (*uedh-) the 'HERO'-WASPS to whom the Myrmidons are compared. Now we find just such a theme and va	not-suspect		true	
WATKINS-NFORM-00372	WATKINS-FORM-01053	ἔρως	ἔρως	eros	greek	Greek_form	Greek	Greek			166	183	13. An Indo-European stylistic figure	unicode_greek_span		ἔρως δὲ γαῖαν λαμβάνει γάμου τυχεῖν Holy heaven yearns to wound the earth, and yearning seizes earth to join in mating. ``` Note that ἐρᾶι (Vi) and ἔρως (Ni) follow the left hand verse boundary, and λαμβάνει, the V of (Ni + V), follows the caesura of the second of these unresolved, powerful isosyllabic trimeter lines, the beginning of Aphrodite's vindication of sex,	not-suspect		true	
WATKINS-NFORM-00373	WATKINS-FORM-01050	ης	ης	es	greek	Greek_form	Greek	Greek			163	180	12. The comparison of formulaic sequences	unicode_greek_span		th the Germanic family of English room), as found and mediated by the highest professional of the word, the poet-priestseer kauui (- Vedic kavi, Lydian kaves, Greek [Hesych.] κο(ί)ης [IE *kouh-ei-]), is precisely the Iranian formulaic noun phrase draoca pauruuanca, again in our notation, TREE (*dru-) and ROCK. It is difficult not to equate the Iranian and the Greek phrases, in view of the identi	not-suspect		true	
WATKINS-NFORM-00374	WATKINS-FORM-00986	εὐκταῖα ... χέουσα	εὐκταῖα ... χέουσα	euktaia ... cheousa	greek	Greek_form	Greek	Greek		pouring votive prayers	16	33	2. Sketch for a history of Indo-European poetics	unicode_greek_span		printed-page: 16 --> half. See for example Kurke 1989, on the pouring (IE *gheu-) of a poem or prayer like a libation in Vedic (ima giro...juhomi 'I pour these songs' RV), Greek (εὐκταῖα ... χέουσα 'pouring votive prayers' Aeschylus), and Latin (fundere preces Horace, Vergil). If the Latin examples of the Augustan age might reflect Greek influence, as she acknowledges (124, n. 24), one could also	not-suspect		true	
WATKINS-NFORM-00375	WATKINS-FORM-01401	εὐκταῖα ... χέουσα	εὐκταῖα ... χέουσα	euktaia ... cheousa	greek	Greek_form	Greek	Greek	pouring votive prayers	pouring votive prayers	16	33	2. Sketch for a history of Indo-European poetics	form_plus_single_quote_gloss		printed-page: 16 --> half. See for example Kurke 1989, on the pouring (IE *gheu-) of a poem or prayer like a libation in Vedic (ima giro...juhomi 'I pour these songs' RV), Greek (εὐκταῖα ... χέουσα 'pouring votive prayers' Aeschylus), and Latin (fundere preces Horace, Vergil). If the Latin examples of the Augustan age might reflect Greek influence, as she acknowledges (124, n. 24), one could also	not-suspect		true	
WATKINS-NFORM-00376	WATKINS-FORM-01336	father for the call of the	father for the call of the	father for the call of the	latin-script	attested_or_cited_form	Greek	Greek	hoot owl	hoot owl	4	21	1. The comparative method in linguistics and poetics	form_plus_single_quote_gloss		lemental similarities: the Greek stem pneu- 'breathe, blow' is virtually identical to the verb pniw- 'breathe' of the Klamath of Oregon, and the imitative phrase I learned from my father for the call of the 'hoot owl' (actually the great horned owl, Bubo virginianus), I-cook-for-myself-who-cooks-for-you-all, is nearly the same in its last five syllables as the Swampy (Woodland) Cree word for the s	not-suspect		true	
WATKINS-NFORM-00377	WATKINS-FORM-02086	fdilid mbronaig	fdilid mbronaig	fdilid mbronaig	latin-script	attested_or_cited_form	Greek	Greek	joyful, sorrowful	joyful, sorrowful	263	280	24. Early Irish rose	form_plus_single_quote_gloss		living has died on us. Stylistically compare the antithesis in the last colon b'iu -bath 'living died' with that of the last colon of the verse of Tiughraind Bhecdin just cited: fdilid mbronaig 'joyful, sorrowful'. Metrically the line is directly comparable to the Vedic tricolic tristubh/ jagatl, and mutatis mutandis the Greek iambic trimeter catalectic/iambic trimeter and other meters, and doub	not-suspect		true	
WATKINS-NFORM-00378	WATKINS-FORM-01862	ff.	ff	ff	latin-script	attested_or_cited_form	Greek	Greek	"....
,"	"....
,"	170	187	14. A late Indo-European traditional epithet	form_plus_single_quote_gloss		ture' and AiyuTmoq 'Egyptian'?) from original. Greek is 'an older word chiefly found in poetry' (LSJ s.v.). The most memorable example is surely Aeschylus, Ag. 49ff. '.... , 'vultures who wheel eddying round, rowing with oarsof wings...', lamenting their lost brood andshrieking for the tardy justice of Zeus. The first element of all these forms is clearl	not-suspect		true	
WATKINS-NFORM-00379	WATKINS-FORM-01467	ff., says	ff., says	ff. says	latin-script	attested_or_cited_form	Greek	Greek	now I will tell a fable for princes...	now I will tell a fable for princes...	35	52	3. Poetics as grammar: Typology of poetic devices and some rules of poetic grammar	form_plus_single_quote_gloss		wift/white dogs' gives the 'Caland-form', like Greek ἀργι-, of the adjective in the Homeric formula κύνες ἀργοί 'swift/white dogs'. See further chap. 14. Hesiod, Works and Days 202ff., says 'now I will tell a fable for princes...' which begins Thus the hawk said to the nightingale... and ends Thus said the swift-flying hawk, the long-winged bird. Here the fable is framed by the phonetic identi	not-suspect		true	
WATKINS-NFORM-00380	WATKINS-FORM-01585	figure linking the two words νίκα	figure linking the two words νίκα	figure linking the two words nika	mixed-greek-latin	Greek_form	Greek	Greek	victory	victory	84	101	5. The Indo-European poet: His social function and his art	form_plus_single_quote_gloss		partly below the surface; it is our responsibility to bring them to the light. ```text I conclude with a brief look at another of the many examples of the iconic phonetic figure linking the two words νίκα 'victory' and τιμά 'honor' in Pindar. It is a phrase in the author's prayer to Father Zeus at the conclusion ofNemean 9, lines 54- 5: τιμαλφεῖν λόγοις νίκαν 'to do honor to victory by my	not-suspect		true	
WATKINS-NFORM-00381	WATKINS-FORM-02541	for in Greek	for in Greek	for in greek	latin-script	attested_or_cited_form	Greek	Greek	die	die	474	491	49. From God to hero: The formulaic network in Greek	form_plus_single_quote_gloss		234 [ol], 235 [q:l], [lo], 237 [lo:|, 238 olo]. ``` <!-- pdf-page: 491; printed-page: 474 --> How did Atreus' son die? i. e., 'how was he killed?', for in Greek 'die' is the passive of 'kill'. Telemakhos continues, echoing first Athena's verb (and Nestor's formula of 3.194 then using a neutral one (3.249-50): ```text What scheme of death did Aigistho	not-suspect		true	
WATKINS-NFORM-00382	WATKINS-FORM-02600	For karah	For karah	for karah	latin-script	attested_or_cited_form	Homeric Greek	Greek	victory, the winning stroke	victory, the winning stroke	511	528	55. The song of victory in Greek	form_plus_single_quote_gloss		"ta jyotis' cakjpanta dhibhih ``` ```text Their cattle released, they sang the victory: ""They found the light! They desired (it) with their thoughts!"" ``` For karah 'victory, the winning stroke' see MayrhoferEWAs.v. The verb is abhi arc'sing to, celebrate in song'. Just as in the Homeric Greek example the verb of the paean itself comes both discourse- and sentence-initial"	not-suspect		true	
WATKINS-NFORM-00383	WATKINS-FORM-02280	for σὺν τῷ	for σὺν τῷ	for sun to	mixed-greek-latin	Greek_form	Greek	Greek	with that one	with that one	375	392	38. Herakles, the formulaic hero	form_plus_single_quote_gloss		lds. The hand of Herakles spared not his deep- voiced bowstring. ``` <!-- pdf-page: 392; printed-page: 375 --> We examined the first lines of the passage in chap. 36 for σὺν τῷ 'with that one', the COMPANION in the basic formula. Isthmian 6 just cited continues with a prayer of Herakles in whch he evokes his lion skin (48), of the beast that, first of all my labors, I slew long ago	not-suspect		true	
WATKINS-NFORM-00384	WATKINS-FORM-01671	for the semantics cf. Greek	for the semantics cf. Greek	for the semantics cf. greek	latin-script	attested_or_cited_form	Greek	Greek	make	make	117	134	9. Ireland and the art of the syllable	form_plus_single_quote_gloss		"' is remade from cretho, gen. sg. of cruth 'form' < *k""r-tu- (McManus 1983). The form recurs in Welsh prydydd 'poet' < *k""r- t-iio-. It is further related to Vedic krnoti 'makes'; for the semantics cf. Greek 'make'. Irish cerd and Welsh cerdd mean both 'craft' and 'poetry', the Irish noun also 'craftsman' and 'poet'. The unique cognate is Greek 'gai"	not-suspect		true	
WATKINS-NFORM-00385	WATKINS-FORM-02116	found in the Greek word for	found in the Greek word for	found in the greek word for	latin-script	attested_or_cited_form	Greek	Greek	liquid mire, muddy liquid, filth	liquid mire, muddy liquid, filth	289	306	26. Orphic gold leaves and the great way of the soul: Strophic style, funerary ritual formula, and eschatology	form_plus_single_quote_gloss		ile this could be only a folk etymology, the sinister, dismal drink of the dead contains two repeated syllables beginning with a labial and ending with an ;-. The same sequence is found in the Greek word for 'liquid mire, muddy liquid, filth' , likewise with expressive reduplication. In Aeschylus, Eumenides 694 makes clean water undrinkable: ``` ```text Polluting22 clean	not-suspect		true	
WATKINS-NFORM-00386	WATKINS-FORM-01403	Fred Porta, of Vedic maho ajmasya	Fred Porta, of Vedic maho ajmasya	fred porta of vedic maho ajmasya	latin-script	attested_or_cited_form	Greek	Greek	(Savitr the sun rules) the great path, way (of the horses of the sun	(Savitr the sun rules) the great path, way (of the horses of the sun	16	33	2. Sketch for a history of Indo-European poetics	form_plus_single_quote_gloss		urs welcome' where Greek influence is not possible. The collection is still ongoing. Recent acquisitions include the equation in 1992 by a graduate student in Classics at Harvard, Fred Porta, of Vedic maho ajmasya '(Savitr the sun rules) the great path, way (of the horses of the sun's chariot)' (RV 4.53.4) with Greek μέγας ὄγμος 'the great path, way (of the horses of the moon's chariot)' (Homeric	not-suspect		true	
WATKINS-NFORM-00387	WATKINS-FORM-01668	from cretho, gen. sg. of cruth	from cretho, gen. sg. of cruth	from cretho gen. sg. of cruth	latin-script	attested_or_cited_form	Greek	Greek	form	form	117	134	9. Ireland and the art of the syllable	form_plus_single_quote_gloss		"uath < *aueth, IE *au-et- from a root *au- 'see' which we have in Hittite au(S)- 'see', and Welsh awen 'poetic inspiration'.3 The old glossary word creth 'poetry' is remade from cretho, gen. sg. of cruth 'form' < *k""r-tu- (McManus 1983). The form recurs in Welsh prydydd 'poet' < *k""r- t-iio-. It is further related to Vedic krnoti 'makes'; for the semantics cf. Greek 'mak"	not-suspect		true	
WATKINS-NFORM-00388	WATKINS-FORM-02584	from *gʷhṇ-tó-, as in Hom. μυλήφατος	from *gʷhṇ-tó-, as in Hom. μυλήφατος	from gwhn-to- as in hom. mulephatos	mixed-greek-latin	Greek_form	Greek	Greek	crushed by the mill	crushed by the mill	504	521	53. The basic formula and the announcement of death	form_plus_single_quote_gloss		es, slain. ``` <!-- pdf-page: 521; printed-page: 504 --> These collocations support the derivation of πρόσφατος from *gʷhṇ-to-, whatever the precise force of προσ-.7 Greek -φατος from *gʷhṇ-tó-, as in Hom. μυλήφατος 'crushed by the mill', Ἀρείφατος 'slain by Ares', is one of the most securely reconstructible lexemes in the language: cf. Ved. hatas and adri-samhatas 'squeezed by the pressing stone	not-suspect		true	
WATKINS-NFORM-00389	WATKINS-FORM-01460	from κότος	from κότος	from kotos	mixed-greek-latin	Greek_form	Greek	Greek	rancor	rancor	31	48	3. Poetics as grammar: Typology of poetic devices and some rules of poetic grammar	form_plus_single_quote_gloss		ed-page: 31 --> ```text p t -p h t h -. The two lines are themselves linked by metrical and grammatical parallel- ism, the identically placed and identically derived verbs κοτέει (from κότος 'rancor') and φϑονέει (from φϑόνος 'envy'), with their identical vowels and semantic equiva- lence. The many vowels of the poet (ἀοιδός) beside the harsh stop consonants of the others is iconic to his special	not-suspect		true	
WATKINS-NFORM-00390	WATKINS-FORM-01861	from original. Greek is	from original. Greek is	from original. greek is	latin-script	attested_or_cited_form	Greek	Greek	an older word chiefly found in poetry	an older word chiefly found in poetry	170	187	14. A late Indo-European traditional epithet	form_plus_single_quote_gloss		thet of the arrow) and alone as the name of a mountain range. Greek 'vulture' has been reasonably explained as a folk-etymology (after 'vulture' and AiyuTmoq 'Egyptian'?) from original. Greek is 'an older word chiefly found in poetry' (LSJ s.v.). The most memorable example is surely Aeschylus, Ag. 49ff. '.... , 'vultures who wheel eddying round, rowing	not-suspect		true	
WATKINS-NFORM-00391	WATKINS-FORM-01461	from φϑόνος	from φϑόνος	from phthonos	mixed-greek-latin	Greek_form	Greek	Greek	envy	envy	31	48	3. Poetics as grammar: Typology of poetic devices and some rules of poetic grammar	form_plus_single_quote_gloss		h -. The two lines are themselves linked by metrical and grammatical parallel- ism, the identically placed and identically derived verbs κοτέει (from κότος 'rancor') and φϑονέει (from φϑόνος 'envy'), with their identical vowels and semantic equiva- lence. The many vowels of the poet (ἀοιδός) beside the harsh stop consonants of the others is iconic to his special and privileged status. T	not-suspect		true	
