display_form,count,first_page,sample_context
*drhxweh2-,1,3,*drhxweh2- ‘± grain’
*drhₓweh₂-,1,6,"*drhₓweh₂- ‘weed, rye’ [10]): Skt. dū́rvā- f. ‘dūrvā grass (Panicum dactylon)’ < PIIr. *drH-"
*drisdā,1,7,"*drisdā < *ǵʰrsd-eh₂-. Alternatively, we can assume that *sd and *sdʰ both became dh, but that"
*driδ-(?),1,7,"‘wheat, emmer-wheat’; Alb. drithë f. ‘cereals, grain’ < PAlb. *driδ-(?); OS gersta, OHG ger-"
*driδā,1,7,"leveled from a PAlb. paradigm *driθ, pl. *driδā [72:257]."
*driθ,1,7,"leveled from a PAlb. paradigm *driθ, pl. *driδā [72:257]."
*drāuā,1,6,"*tarwō-; Gaul. *drāuā (>> Fr. droue ‘darnel’), Gallo-Lat. dravoca (>> Du. dravik), W"
*drāu̯,1,6,"drewg, Bret. draok, dreok ‘darnel’ < PC *drāu̯ (ā/uk)ā"
*drāu̯(ā/uk)ā,1,6,"29], but Proto-Celtic *drāu̯(ā/uk)ā [54:148] requires a laryngeal. In view of this, the traditional"
*drāu̯ā-,1,6,"remarkable, but late and unquestionably secondary. In Celtic, *drāu̯ā- referred exclusively to"
*dr̥̄-u̯ā,1,6,*d(e)rH-ueh₂- (*dr̥̄-u̯ā [44:206–11]; *dŕ̥hₓwehₐ- ‘± grain’ [18:237]; *dr̥̄̆HwaH₂ [19:83];
*dr̥̄̆HwaH₂,1,6,*d(e)rH-ueh₂- (*dr̥̄-u̯ā [44:206–11]; *dŕ̥hₓwehₐ- ‘± grain’ [18:237]; *dr̥̄̆HwaH₂ [19:83];
*dŕ̥hₓwehₐ-,1,6,*d(e)rH-ueh₂- (*dr̥̄-u̯ā [44:206–11]; *dŕ̥hₓwehₐ- ‘± grain’ [18:237]; *dr̥̄̆HwaH₂ [19:83];
*dʰH-n-h₂-es-,1,6,"bread’ [60] is doubtful, as it would have to be interpreted as a denominal s-stem *dʰH-n-h₂-es-,"
*dʰaHnaH(-kaH)-,1,6,"granule’ < PIIr. *dʰaHnaH(-kaH)-; Lith. dúona f. ‘(loaf of) bread; (bread) rye’, Latv. duõna"
*dʰeh₁-mon-,1,6,"derived from *deh₁-mon-, cf. Skt. dā́man- ‘cord, rope’ [63:149] or *dʰeh₁-mon-, cf. Gk. θημών"
*dʰoH-neh₂-,3,6,*dʰoH-neh₂- (*dhōnā [44:242]; *dhohₓnéhₐ- ‘grain’ [18:237]; *dhoHnáH₂ [19:39–40];
*dʰohₓnéh₂-,1,6,"*dʰohₓnéh₂- ‘± grain’ [10]): ToA taṃ(?), ToB tāno, obl. tāna f. ‘grain, (sesame, lotus) seeds’"
*e,3,6,Proto-Celtic reconstruction *bareginā is possible under the assumption of a sound law PC *e
*esetь,1,13,"would show a different formation. The connection of PSl. *esetь, cf. Ukr. oset’ ‘place for the"
*falgō-,1,25,"Falg f. ‘fallow land’ < PGm. *falgō-; LLat. olca ‘fertile field’, Fr. ouche f. ‘plantation; arable"
*falwa-,1,16,"*polVu̯-. Alternatively, it can be grouped with ON fǫl n. ‘thin layer of snow’ < *falwa- (whence"
*far-os,1,5,"ing that PIt. *far-os, *-es- < *bʰr̥H-os, *-es-, with the zero grade of a laryngealic root and regu-"
*fare/os-ejo-,1,5,"reum’ < PIt. *fars-ejo- cannot be derived from syncopated *fare/os-ejo-, as this would have"
*fars-,2,5,"far ‘flour, meal’ < PIt. *fars-"
*fars-ejo-,1,5,"reum’ < PIt. *fars-ejo- cannot be derived from syncopated *fare/os-ejo-, as this would have"
*farā,1,26,"*spor-eh₂- (*sporáH₂ [19:119]): Gk. σπορά f. ‘seed’; Alb. farë f. ‘seed, sperm’ < PAlb. *farā"
*ferhan-,1,25,fere m. ‘strip or plot of land; ridge between furrows’ < *ferhan- [203:244]. Further possible
*fisōn-,1,16,"let’, Sln. pšénọn. ‘peeled grain, millet’ < PSl. *pьsˇeno; OHG fesa f. ‘chaff’ < PGm. *fisōn-;"
*furh-,1,25,"f. ‘furrow’, OHG furh, furuh f. ‘furrow’ < PGm. *furh-; Lat. porca f. ‘furrow’ < PIt. *porkā;"
*fursjō-,1,21,Balto-Slavic and Greek. The occasionally adduced OE fyrse ‘furze’ < PGm. *fursjō- is formally
*fīsila-.,1,16,"*paista- and MDu. visel, Du. vijzel c. ‘mortar, pestle’ < PGm. *fīsila-. We may further connect"
*g(ʷ)eu-,1,23,*gu-s-és ‘curve’ to the root *g(ʷ)eu- ‘curve’. To further substantiate the Indo-European age of
*ge,2,6,"> PBr. *a before *ge, *gi [51:134–41] (see under *seg´ʰ-e-tleh₂-)."
*gelVu̯-,1,7,"*gelVu̯- (for the suffix, cf. MW cleddeu ‘sword’ and W neddau ‘adze’), OE gielm ‘sheaf’, WFri."
*gelma-,1,7,galm ‘armful’ < *gelma- [76:5–8] and Go. gilþa m. ‘sickle’ < *gelþan-. The root is generally
*gelþan-.,1,7,galm ‘armful’ < *gelma- [76:5–8] and Go. gilþa m. ‘sickle’ < *gelþan-. The root is generally
*gerstō-,1,7,sta f. ‘barley’ < PGm. *gerstō-; Lat. hordeum n. ‘barley’ < PIt. *χord-ejo-
*ghel-,1,3,*ghel- ‘plough’
*ghrū̆dom,1,18,"?*g´ʰrud-o- (*ghrū̆dom [19:119]): Lith. grū́das, Latv. grûds m. ‘grain’ < PB *gruʔda-; OE grotan"
*gi,2,6,"> PBr. *a before *ge, *gi [51:134–41] (see under *seg´ʰ-e-tleh₂-)."
*girʔnaʔ-,1,8,"nas f.pl. ‘quern’ < PB *girʔnaʔ-; Latv. dzir̃nus f.pl. ‘quern’, OPru. girnoywis ‘quern’ < PB"
*giʔrnuʔ-,1,8,"*giʔrnuʔ-; OCS žrъny f. ‘millstone’, Ru. žërnov m. ‘millstone’, SCr. žrvȃnj m. ‘quern’ < PSl."
*glāro-,1,8,"*glāro- < *ǵrH-ro- ‘grainy’ [83:I, 605–6]. More straightforward cognates exist in Celtic and"
*graH-uan-,1,8,"PTo. *kərwen-; Skt. grā́van- m. ‘(pressing-)stone, rock’ < PIIr. *graH-uan-; Go. asilu-qair-"
*greutan-,1,18,"However, it cannot be excluded that these are independent derivations from PGm. *greutan-"
*gruta,1,18,"m.pl. ‘hulled and crushed grain’, E groats ‘groats’, WFri. grôt ‘(pearl) barley’ < PGm. *gruta"
*grutja/ō-,1,19,"MDu. gorte n. ‘porridge’, Du. gort c. ‘pearl barley, groats’ < *grutja/ō- may be compared. The"
*gruʔda-,1,18,"?*g´ʰrud-o- (*ghrū̆dom [19:119]): Lith. grū́das, Latv. grûds m. ‘grain’ < PB *gruʔda-; OE grotan"
*gréhₐ-u̯-on-,1,8,"*gʷr(e)h₂-uon- (*gʷr̥̄-nu-, *gʷrāu̯-ō(n)- ‘Mu¨hle’ [44:476–7]; *gréhₐ-u̯-on- ~ *gʷérhₐ-n-u-"
*grāno-,2,8,"PGm. *kurna-; Lat. grānum n. ‘grain, seed, kernel’ < *grāno-; OIr. grán n. ‘grain’, MW"
*grārea,1,8,"similated from *grārea, this formation may have been derived from an unattested adjective"
*grāu̯,1,8,"‘quern’ < PC *grāu̯ on-; Arm. erkan ‘millstone’ < PArm. *kra(u̯ a)n-; Lith. gìrnos, Latv. dzir̃-"
*grāu̯ā,1,8,"Germanic: W gro ‘pebbles, gravel, sand’, OCo. grou ‘sand’ < PC *grāu̯ā (whence possibly Fr."
*gu-s-és,1,23,*gu-s-és ‘curve’ to the root *g(ʷ)eu- ‘curve’. To further substantiate the Indo-European age of
*guhā-,1,23,*gʷeuso-; Gk. γύηB m. ‘curved piece of wood in a plow’ < PGk. *guhā-
*gwr(e)h2-uon-,1,29,*gwr(e)h2-uon-
*gwre´hawon,1,3,*gwre´hawon ‘quern’
*g´ʰersd-,1,15,"alternatively been linked to *g´ʰersd- (q.v.). In addition, the association of PGm. *hersja- with"
*gēu-,1,23,"?*gʷ(e)u-s-o- (*gēu-, gəu-, gū- [44:393–8]): Lat. būris, būra f. ‘plow pole’ ? Sab. < PIt."
*gʰel-,1,7,?*g´ʰolH-o- (*^ghel- 2 ‘schneiden’?? [44:434];? *ǵhel- ‘plow’ [18:435]; *gʰel- ‘plough’ [10])
*gʰrud-o-,1,18,A form *gʰrud-o- has been proposed on the basis of Germanic and East Baltic forms [19:119].
*gʷerh₂-,1,8,branches innovated a new strong stem *gʷreh₂-uon-. The Schwebeablaut of Germanic *gʷerh₂-
*gʷerh₂-nu-,1,8,"*gʷerh₂-nu- and *gʷrh₂-nuH-, respectively [85:566]. These variants appear to be based on a"
*gʷeuso-,2,23,*gʷeuso-; Gk. γύηB m. ‘curved piece of wood in a plow’ < PGk. *guhā-
*gʷou-s-o-,1,23,"formation *gʷou-s-o- [180:321]. However, the better attested NP gōšā ‘angle, corner; handle of"
*gʷr(e)h₂-,1,32,"not restricted to agricultural societies. Nevertheless, it is striking that the formation *gʷr(e)h₂-"
*gʷr(e)h₂-uon-,2,8,"*gʷr(e)h₂-uon- (*gʷr̥̄-nu-, *gʷrāu̯-ō(n)- ‘Mu¨hle’ [44:476–7]; *gréhₐ-u̯-on- ~ *gʷérhₐ-n-u-"
*gʷreh₂-n-,1,8,"glide, although the alternative reconstruction *kran- < *gʷreh₂-n- cannot be rejected [61:266]."
*gʷreh₂-un-,1,8,"Armenian could continue *gʷreh₂-un-, through PArm. *krau̯an- and regular loss of the labial"
*gʷreh₂-uon-,1,8,"A formation *gʷreh₂-uon- can be reconstructed on the basis of Tocharian, Indic and Celtic."
*gʷreh₂-uon-.,1,8,branches innovated a new strong stem *gʷreh₂-uon-. The Schwebeablaut of Germanic *gʷerh₂-
*gʷrh₂-n-.,1,8,nu- may have been introduced analogically after the zero-grade *kwurn- < *gʷrh₂-n-.
*gʷrh₂-nuH-,1,8,"*gʷerh₂-nu- and *gʷrh₂-nuH-, respectively [85:566]. These variants appear to be based on a"
*gʷrh₂-un-ós.,1,8,"forms, e.g. nom. *gʷréh₂-nu-s, gen. *gʷrh₂-un-ós. On the basis of the oblique cases, several"
*gʷréh₂-nu-s,1,8,"forms, e.g. nom. *gʷréh₂-nu-s, gen. *gʷrh₂-un-ós. On the basis of the oblique cases, several"
*gʷréhₐwon-,1,8,"‘quern’ [18:237]; *gʷréhₐwon- ‘quern’ [10]): ToA kärwañi*, ToB kärweñe* ‘stone, rock’ <"
*gʷrāu̯-ō(n)-,1,8,"*gʷr(e)h₂-uon- (*gʷr̥̄-nu-, *gʷrāu̯-ō(n)- ‘Mu¨hle’ [44:476–7]; *gréhₐ-u̯-on- ~ *gʷérhₐ-n-u-"
*gʷr̥̄-nu-,1,8,"*gʷr(e)h₂-uon- (*gʷr̥̄-nu-, *gʷrāu̯-ō(n)- ‘Mu¨hle’ [44:476–7]; *gréhₐ-u̯-on- ~ *gʷérhₐ-n-u-"
*gʷu-,1,23,"196:321]. Assuming that Gk. γύηB is a substantivization of the zero-grade root *gʷu-, Latin and"
*gʷérhₐ-n-u-,1,8,"*gʷr(e)h₂-uon- (*gʷr̥̄-nu-, *gʷrāu̯-ō(n)- ‘Mu¨hle’ [44:476–7]; *gréhₐ-u̯-on- ~ *gʷérhₐ-n-u-"
*gʷéu-os,1,23,"Greek would attest to two different ablaut grades of an original neuter s-stem *gʷéu-os, gen."
*h2(e)lbh-it-,1,29,*h2(e)lbh-it-
*h2e(h2)i-r-ieh2-,1,29,*h2e(h2)i-r-ieh2-
*h2ed-,2,3,*h2ed- ‘± grain’
*h2el-,1,3,*h2el- ‘grind’
*h2elbhit-,1,3,"*h2elbhit- ‘± grain,? barley’"
*h2erh3-,1,29,*h2erh3-
*h2e´reh2-,1,3,*h2e´reh2- ‘weed/rye’
*h2e´rh3ye/o-,1,3,*h2e´rh3ye/o- ‘plough’
*h2eǵ-ro-,1,29,*h2eǵ-ro-
*h2eḱk-on-eh2-,1,29,*h2eḱk-on-eh2-
*h2eḱk-os-,1,29,*h2eḱk-os-
*h2eḱstı´-,1,3,*h2eḱstı´- ‘awn’
*h2leh1-,1,29,*h2leh1-
*h3eke´teha-,1,3,*h3eke´teha- ‘harrow’
*hab(a)ran-,1,22,"means that the proposed connection to PGm. *hab(a)ran- and Jassic zabar, both meaning"
*hab(e/a)ran-,2,21,"forms with PGm. *hab(e/a)ran- and Jass. zabar, by metathesis from *ḱkop-ro- [19:81], is for-"
*hagra-,1,20,"North Germanic *hagran- appears to be derived from *hagra-, cf. Nw. dial. hagr, harg ‘horse"
*hagran-,2,20,?*kok-ro- ~ *kork-io- (*korkri̯o- [44:529]): OGutn. hagri m. ‘oats’ < PGm.? *hagran-; OIr.
*hagrja-,1,20,"loan *kakra ‘oats’, cf. Fi. kaura, Est. kaer, Liv. kaggõrz. The derived ja-stem *hagrja-, cf. Da."
*hersja-,4,14,"OHG hirsi, hirso ‘millet’ < PGm. *hersja-"
*holko-,1,26,< *holko-; Lat. sulcus m. ‘furrow’ < PIt. *solko-
*hvar-,1,22,"derived from the Iranian root *hvar-, cf. YAv. xvar- ‘consume, eat’ < PIIr. *suar-, which is not"
*hōbō-,1,14,*hōbō-
*h₁/₄ek-,1,13,"[18:434–5]; *h₁/₄ek- ‘rake, harrow’ [135:176]; *h₃ekétehₐ- ‘harrow’ [10]): Oss. I adæg ‘har-"
*h₁/₄okétehₐ-,1,13,"*Hoket-(i)eh₂- (*o^ketā ‘Egge, Gera¨t mit Spitzen’ [44:18–22]; *h₁/₄okétehₐ- ‘harrow, rake’"
*h₁e/ongʷ-ō̆l-o-,1,16,this u-stem (cf. Skt. áṅgāra- ‘coal’ < *h₁e/ongʷ-ō̆l-o- for a parallel). The Balto-Slavic forms
*h₁ed-,1,9,must continue an o-grade u-stem *h₂od-u- [93:128]. Derivation from the root *h₁ed- ‘eat’
*h₁n-ǵʰrud-n-i(H)o-,1,19,"onkorño ‘porridge, rice gruel’ through *h₁n-ǵʰrud-n-i(H)o- [165:170–1; 166:137–8], but other"
*h₁s-,1,42,Kimball S. Initial *h₁s- in Hittite. Studies in memory of Warren Cowgill (1929–1985) Papers from the
*h₂(e)lH-,1,23,"-anna/i- to the etymologically obscure root *ḫall- < *h₂(e)lH- or *h₃(e)lH- [75:271]. If related,"
*h₂(e)lbʰ-it-,3,11,"*h₂(e)lbʰ-it- (*albhi- [44:29]; *h₂élbʰit ‘barley’ [18:51]; *albhi [19:58–9]; *h₂elbʰit- ‘± grain,?"
*h₂/₃elǵ(h)-,1,19,?*h₂/₃elg´(ʰ)- (?*h₂/₃elǵ(h)- ‘grain or millet?’ [18:237];? *h₂/₃elǵ(h)- [135:164]): Hitt. ḫalki- c.
*h₂e(-h₂)i-r-ieh₂-,2,10,*h₂e(-h₂)i-r-ieh₂- (ai-rā [44:16]; *h₂érehₐ- ‘weed/ryegrass’ [18:7]; *h₂éreh₂- ‘weed/rye’ [10]):?
*h₂e(-h₂)i-ro-,2,10,"269], but remains a possibility through a protoform PIIr. *Ha(H)ira- < PIE *h₂e(-h₂)i-ro-"
*h₂e-,1,10,underlying acute intonation of the Latvian form can be taken at face value—reduplicated *h₂e-
*h₂e^kstí-,1,11,"?*h₂eḱ-ti- (*a^ksti- [44:18–22]; *hₐe^kstí- ‘awn, bristle’ [18:237]; *h₂e^kstí- ‘ear’ [10]):? ToB āśce f."
*h₂ed-,6,9,"?*h₂ed-o(s)- (*ades-, *ados- [44:3]; *h₂ed- ‘grain, barley’ [18:273]; *H₂adHor [19:101–3, 117–"
*h₂ed-es-ko-),1,9,"No s-stem can be postulated on the basis of PGm. *atiska- (as if from *h₂ed-es-ko-), which"
*h₂ed-ie-,1,9,"ἄzω ‘dry up’ < *h₂ed-ie- [92]. If correct, the implied semantic specialization can be understood"
*h₂ed-o(s)-,2,9,"8]; *h₂ed- ‘± grain’ [10]): Arm. hat ‘grain’ < *h₂ed-o(s)-; Go. atisk(s*) ‘grainfield’, OHG"
*h₂ed-o-.,1,9,Armenian forms can alternatively be derived from a root noun *h₂ed- or an o-stem *h₂ed-o-.
*h₂ed-os,1,9,An s-stem *h₂ed-os has been proposed to be continued by several European branches. This
*h₂ed-os-,1,9,"In conclusion, the reconstruction of an s-stem *h₂ed-os- is possible for, or at least not con-"
*h₂ed-ōr,1,9,and a collective r-stem *h₂ed-ōr [92].
*h₂ed-ōs,1,9,"ambiguous as well, and has been derived both from a collective s-stem *h₂ed-ōs [48:25; 93:128]"
*h₂ed-ō̆r,1,9,"been compared [94:220] through a reconstruction *h₂ed-ō̆r [92; 95]. However, the more fre-"
*h₂eg´-ro-,1,19,"*h₂eg´-ro- (*a^g-ro-s ‘Feld, Flur’ [44:4–6; 79:8]; *hₐe^gros ‘field, pasture’ [18:200]): Skt. ájra- m."
*h₂ei-r-i(e)h₂-,1,10,"Both αἶρα and aĩres can be derived from a single protoform, viz. *h₂ei-r-i(e)h₂- or—if the"
*h₂ei-u-,1,13,"based on that of *h₂ei-u- ‘(old) age’, the loss of the laryngeal would be irregular in Hittite."
*h₂el(H)K-i-,1,19,"Hittite ḫalki- appears isolated, and can be derived from PIE *h₂el(H)K-i- [75:274–5;"
*h₂elKi-,1,19,"‘barley, grain’ < PAn. *h₂elKi-; MP ʾrzn, P arzan ‘millet’ (< Parth.), Sogd. ʾrzn ‘id.’, Psht."
*h₂elbʰ-,1,11,"Etymologically, the formation *h₂(e)lbʰ-it- can possibly be derived from PIE *h₂elbʰ-"
*h₂elbʰit-,1,11,"*h₂(e)lbʰ-it- (*albhi- [44:29]; *h₂élbʰit ‘barley’ [18:51]; *albhi [19:58–9]; *h₂elbʰit- ‘± grain,?"
*h₂elh₁-,3,19,"*h₂elh₁-, with a suffix -ικ [44:28–9]. The Greek word in turn appears to have been the source"
*h₂enh₁-tleh₂.,1,26,cf. anadl ‘breath’ < *h₂enh₁-tleh₂. This leads Pokorny and Hamp to reconstruct its allomorph
*h₂erh₃-,8,12,*h₂erh₃- (*ar(ə)- ‘pflu¨gen’ [44:62–3]; *hₐérh₃ie/o- ‘plow’ [18:434]; *h₂érh₃ye/o- ‘plough’ [10]):
*h₂erh₃-.,1,12,"accepted etymology, but may contain the same root PIE *h₂erh₃-. It follows from the implied"
*h₂erh₃-ie-,2,12,Several European branches attest to a verbal formation *h₂erh₃-ie- ‘plow’. No direct coun-
*h₂erh₃-tro-,1,12,Europe and *h₂erh₃-tro- in the European branches and quite possibly Tocharian. Prior to the
*h₂erh₃-uon-,1,12,"awunk ‘sowing, seeds, arable land’ < *h₂erh₃-uon-, Gk. ἄρουρα f. ‘farmland’ < *h₂erh₃-ur-h₂-"
*h₂erh₃-ur-h₂-,1,12,"awunk ‘sowing, seeds, arable land’ < *h₂erh₃-uon-, Gk. ἄρουρα f. ‘farmland’ < *h₂erh₃-ur-h₂-"
*h₂erh₃-ur/n-,2,12,"*h₂erh₃-ur/n-, present in both Europe and Asia, as well as to the formations *h₂erh₃-ie- in"
*h₂et-u-ieh₂-,1,9,"therefore been proposed with ToA āti, ToB ātiyo* n. ‘grass’ < PTo. *ātəyā- < *h₂et-u-ieh₂-,"
*h₂eue(K)s-,1,19,"back into PIE, i.e. as *h₂euiḱk-, *h₂euiǵʰ- and *h₂eue(K)s-, a root-final “spirant of indeterminate"
*h₂euiǵʰ-,1,19,"back into PIE, i.e. as *h₂euiḱk-, *h₂euiǵʰ- and *h₂eue(K)s-, a root-final “spirant of indeterminate"
*h₂euiḱk-,1,19,"back into PIE, i.e. as *h₂euiḱk-, *h₂euiǵʰ- and *h₂eue(K)s-, a root-final “spirant of indeterminate"
*h₂eǵ-ro-,2,19,A formation *h₂eǵ-ro- can be reconstructed on the basis of the European centum branches
*h₂eḱ-on-eh₂-,1,23,"*h₂eḱ-on-eh₂- (*a^ken- [44:18–22]): Go. ahana, ON ǫgn f. ‘chaff’, OE ægnan f.pl. ‘awns, chaff,"
*h₂eḱ-os-,1,11,"*h₂eḱ-os- (*a^kes-: *a^ks- [44:18–22]; *hₐe^kes- ‘ear of grain’ [18:237]): ToA āk*, ToB āke n. ‘end,"
*h₂eḱk(-s)-ti-,1,11,"*h₂eḱk(-s)-ti- in core Indo-European, including Tocharian, the semantic specialization as an"
*h₂eḱk-,3,11,"*h₂eḱk- ‘sharp’. As a consequence, the agricultural connotation of PGm. *ahiz- ~ *ahsa- and"
*h₂eḱk-h₂,1,11,"Since āka at face value continues PTo. *aka < *h₂eḱk-h₂, it might be preferable to separate it"
*h₂eḱk-n-ih₂-.,1,23,"the potentially derived ἄκαινα f. ‘spike, prick, goad’ < *h₂eḱk-n-ih₂-. It appears that this forma-"
*h₂eḱk-on-,1,23,"noun created to an n-stem *h₂eḱk-on-, cf. the formally close Gk. ἀκόνη f. ‘whetstone’ as well as"
*h₂eḱk-on-eh₂-,1,28,related collective formation *h₂eḱk-on-eh₂- similarly acquired an agricultural meaning in the
*h₂eḱk-os-,2,28,"the other branches in which it is attested. In addition, there is the s-stem *h₂eḱk-os- meaning"
*h₂eḱk-s-ti-,1,11,"A formation *h₂eḱk-s-ti- has been reconstructed for Balto-Slavic and Celtic, but an alterna-"
*h₂eḱk-ti-,1,11,"tive reconstruction *h₂eḱk-ti- has been considered as well [115:48]. Whichever is correct, the"
*h₂eḱk-ōs,1,11,"form has been interpreted as deriving from a collective s-stem *h₂eḱk-ōs [114:371]. However,"
*h₂l(e)h₁-ur/n-,1,23,"to the heteroclitic *h₂l(e)h₁-ur/n- continued by Gk. ἀλέατα ‘wheat-groats’, thematicized"
*h₂leh₁-,3,23,[168:78]. It is formally possible to connect the root *h₂elh₁- or *h₂leh₁- as found in Gk. ἀλέω
*h₂loh₁-uo/eh₂-,1,23,"*h₂loh₁-uo/eh₂- [79:8]: Gk. ἅλωB, ἀλωή f. ‘threshing floor’ < PGk. *alōu̯ (-ā)-; OSw. lō m."
*h₂od-,1,9,"identical to *h₂ed- ‘dry, parch’, cf. Hitt. ḫāt-ⁱ / ḫat- ‘dry up, to become parched’ < *h₂od-, Gk."
*h₂od-u-,1,9,must continue an o-grade u-stem *h₂od-u- [93:128]. Derivation from the root *h₁ed- ‘eat’
*h₂rh₂-uén-s,1,12,"tation of the derived, widely distributed heteroclitic, *h₂érh₃-ur, gen. *h₂rh₂-uén-s, cf. Skt."
*h₂rh₃-,1,32,"possessed this verb, something that also follows from the preservation of the formation *h₂rh₃-"
*h₂ég-,1,19,"driven, in view of the transparent derivation from the PIE root *h₂ég- ‘drive’. In the European"
*h₂élbʰit,1,11,"*h₂(e)lbʰ-it- (*albhi- [44:29]; *h₂élbʰit ‘barley’ [18:51]; *albhi [19:58–9]; *h₂elbʰit- ‘± grain,?"
*h₂éreh₂-,1,10,*h₂e(-h₂)i-r-ieh₂- (ai-rā [44:16]; *h₂érehₐ- ‘weed/ryegrass’ [18:7]; *h₂éreh₂- ‘weed/rye’ [10]):?
*h₂érehₐ-,1,10,*h₂e(-h₂)i-r-ieh₂- (ai-rā [44:16]; *h₂érehₐ- ‘weed/ryegrass’ [18:7]; *h₂éreh₂- ‘weed/rye’ [10]):?
*h₂érh₃-ur,1,12,"tation of the derived, widely distributed heteroclitic, *h₂érh₃-ur, gen. *h₂rh₂-uén-s, cf. Skt."
*h₂érh₃ye/o-,1,12,*h₂erh₃- (*ar(ə)- ‘pflu¨gen’ [44:62–3]; *hₐérh₃ie/o- ‘plow’ [18:434]; *h₂érh₃ye/o- ‘plough’ [10]):
*h₃(e)lH-,1,23,"-anna/i- to the etymologically obscure root *ḫall- < *h₂(e)lH- or *h₃(e)lH- [75:271]. If related,"
*h₃ekétehₐ-,1,13,"[18:434–5]; *h₁/₄ek- ‘rake, harrow’ [135:176]; *h₃ekétehₐ- ‘harrow’ [10]): Oss. I adæg ‘har-"
*h₃erh₂-tro-,1,12,"*h₃erh₂-tro- is also found in most core Indo-European branches, Arm. arawr, Gk. ἄροτρον,"
*hₐe^gros,1,19,"*h₂eg´-ro- (*a^g-ro-s ‘Feld, Flur’ [44:4–6; 79:8]; *hₐe^gros ‘field, pasture’ [18:200]): Skt. ájra- m."
*hₐe^kes-,1,11,"*h₂eḱ-os- (*a^kes-: *a^ks- [44:18–22]; *hₐe^kes- ‘ear of grain’ [18:237]): ToA āk*, ToB āke n. ‘end,"
*hₐe^kstí-,1,11,"?*h₂eḱ-ti- (*a^ksti- [44:18–22]; *hₐe^kstí- ‘awn, bristle’ [18:237]; *h₂e^kstí- ‘ear’ [10]):? ToB āśce f."
*hₐeu̯isos,1,19,"†*h₂eui(ḱ/g´ʰ)s- (*au̯i^g- ‘Grasart, Hafer’ [44:88]; *hₐeu̯isos [18:7, 409]; *H₂awi^g-i- [19:66];"
*hₐewis,1,19,"*hₐewis [135:166]):? Yazg. wis, Taj. Wj. gis ‘oats’ < PIIr.? *(H)(a)uić-; Lith. aviža f. ‘id.’,"
*hₐérh₃ie/o-,1,12,*h₂erh₃- (*ar(ə)- ‘pflu¨gen’ [44:62–3]; *hₐérh₃ie/o- ‘plow’ [18:434]; *h₂érh₃ye/o- ‘plough’ [10]):
*i,1,24,raising of e to i before *i in the following syllable [200:81]. The same i-stem has been argued to
*i̯eu̯,1,12,"*i̯eu̯ i̯a-; Lith. javaĩ m.pl. ‘corn, grain’ < PB *jav(ʔ)a-"
*i̯eu̯o-,1,12,*(H)ieu(H)- (*i̯eu̯o- [44:512]; *i̯éu̯os ~ *i̯éu̯om ‘grain (particularly barley?)’ [18:236]; *yewH₁
*i̯éu̯om,1,12,*(H)ieu(H)- (*i̯eu̯o- [44:512]; *i̯éu̯os ~ *i̯éu̯om ‘grain (particularly barley?)’ [18:236]; *yewH₁
*i̯éu̯os,1,12,*(H)ieu(H)- (*i̯eu̯o- [44:512]; *i̯éu̯os ~ *i̯éu̯om ‘grain (particularly barley?)’ [18:236]; *yewH₁
*j,2,15,"However, the assumed loss of *j appears to be ad hoc and since the origin of biṃ- remains"
*jav(ʔ)a-,1,12,"*i̯eu̯ i̯a-; Lith. javaĩ m.pl. ‘corn, grain’ < PB *jav(ʔ)a-"
*j́(ʰ)i̯,1,15,"nian language in which *j́(ʰ)i̯ > *ž. In conclusion, this etymology is plagued by many formal"
*j́rH-na(-ka)-(?),1,7,"PIIr. *j́rH-na(-ka)-(?); Lith. žìrnis, Latv. zir̃nis m. ‘pea’, OPru. syrne ‘grain’ < PB *zˇirʔni(o)-"
*j́rH-na-ka-,1,8,"forms zə́ṇai ~ zə́ṛai, if indeed continuing PIIr. *j́rH-na-ka- < PIE *ǵrH-no- [80:102; 81:103],"
*j́ʰami-čī-,1,14,"*j́ʰami-čī-, the productive suffix *-čī- appears to have been added to a base *ćāpa- [145:74], after"
*j́ʰž,1,15,"*miǵʰ-so- [93:129]. Unfortunately, the implied cluster *-ǵʰs- > PIr. *j́ʰž > *ž does not regularly"
*k,1,15,4]. The alternative suggestion that OIr. míach acquired its *k by 1) devoicing before s in a nom-
*k(ʷ)āti-,1,24,"?*kʷeh₂t-i- (?*kʷet- [18:104]):? Gk. Hes. πήτεα ‘bran’; OIr. cáith f. ‘chaff, husks’ < PC *k(ʷ)āti-"
*kakra,1,20,"loan *kakra ‘oats’, cf. Fi. kaura, Est. kaer, Liv. kaggõrz. The derived ja-stem *hagrja-, cf. Da."
*kar(H)-as-,1,14,"pool’, meaning that the attested káras cannot reflect PIIr. *kar(H)-as- in underived form. More"
*kar(H)as-.,1,14,form *čar(H)as- rather than *kar(H)as-.
*karH-,1,20,"semantically close *karH- ‘sow’ [181:241–3], with which it is suppletive in part of Iranian. Such"
*karsˇ-,1,20,"plow’, YAv. karšaiti ‘draw; plow, sow’ < PIIr. *karsˇ-;? Gk. τέλσον n. ‘end of the field, where"
*karš-,1,20,that the meaning ‘make furrows’ that is found in Indo-Iranian with the root *karš- developed
*ker(H)-es-,1,14,"fatally, PIE *ker(H)-es- should according to the known sound changes have resulted in PIIr."
