page,line_on_page,prefix,form,display_form,context
8,34,,*girʔnaʔ-,*girʔnaʔ-,"nas f.pl. ‘quern’ < PB *girʔnaʔ-; Latv. dzir̃nus f.pl. ‘quern’, OPru. girnoywis ‘quern’ < PB"
8,35,,*giʔrnuʔ-,*giʔrnuʔ-,"*giʔrnuʔ-; OCS žrъny f. ‘millstone’, Ru. žërnov m. ‘millstone’, SCr. žrvȃnj m. ‘quern’ < PSl."
8,36,,*zˇьrny,*zˇьrny,*zˇьrny
8,37,,*gʷreh₂-uon-,*gʷreh₂-uon-,"A formation *gʷreh₂-uon- can be reconstructed on the basis of Tocharian, Indic and Celtic."
8,38,,*gʷreh₂-un-,*gʷreh₂-un-,"Armenian could continue *gʷreh₂-un-, through PArm. *krau̯an- and regular loss of the labial"
8,38,,*krau̯an-,*krau̯an-,"Armenian could continue *gʷreh₂-un-, through PArm. *krau̯an- and regular loss of the labial"
8,39,,*kran-,*kran-,"glide, although the alternative reconstruction *kran- < *gʷreh₂-n- cannot be rejected [61:266]."
8,39,,*gʷreh₂-n-,*gʷreh₂-n-,"glide, although the alternative reconstruction *kran- < *gʷreh₂-n- cannot be rejected [61:266]."
8,41,,*gʷerh₂-nu-,*gʷerh₂-nu-,"*gʷerh₂-nu- and *gʷrh₂-nuH-, respectively [85:566]. These variants appear to be based on a"
8,41,,*gʷrh₂-nuH-,*gʷrh₂-nuH-,"*gʷerh₂-nu- and *gʷrh₂-nuH-, respectively [85:566]. These variants appear to be based on a"
8,42,,*-u̯n-,*-u̯n-,"protoform in which the suffix *-u̯n- was metathesized to *-nu-, a development which may be"
8,42,,*-nu-,*-nu-,"protoform in which the suffix *-u̯n- was metathesized to *-nu-, a development which may be"
8,43,,*-u̯r-,*-u̯r-,compared with the regular metathesis *-u̯r- > *-ru- between consonants [86:260; 87:161–2]. It
8,43,,*-ru-,*-ru-,compared with the regular metathesis *-u̯r- > *-ru- between consonants [86:260; 87:161–2]. It
8,45,,*gʷréh₂-nu-s,*gʷréh₂-nu-s,"forms, e.g. nom. *gʷréh₂-nu-s, gen. *gʷrh₂-un-ós. On the basis of the oblique cases, several"
8,45,,*gʷrh₂-un-ós.,*gʷrh₂-un-ós.,"forms, e.g. nom. *gʷréh₂-nu-s, gen. *gʷrh₂-un-ós. On the basis of the oblique cases, several"
8,46,,*gʷreh₂-uon-.,*gʷreh₂-uon-.,branches innovated a new strong stem *gʷreh₂-uon-. The Schwebeablaut of Germanic *gʷerh₂-
8,46,,*gʷerh₂-,*gʷerh₂-,branches innovated a new strong stem *gʷreh₂-uon-. The Schwebeablaut of Germanic *gʷerh₂-
8,47,,*kwurn-,*kwurn-,nu- may have been introduced analogically after the zero-grade *kwurn- < *gʷrh₂-n-.
8,47,,*gʷrh₂-n-.,*gʷrh₂-n-.,nu- may have been introduced analogically after the zero-grade *kwurn- < *gʷrh₂-n-.
9,11,?,*h₂ed-o(s)-,?*h₂ed-o(s)-,"?*h₂ed-o(s)- (*ades-, *ados- [44:3]; *h₂ed- ‘grain, barley’ [18:273]; *H₂adHor [19:101–3, 117–"
9,11,,*ades-,*ades-,"?*h₂ed-o(s)- (*ades-, *ados- [44:3]; *h₂ed- ‘grain, barley’ [18:273]; *H₂adHor [19:101–3, 117–"
9,11,,*ados-,*ados-,"?*h₂ed-o(s)- (*ades-, *ados- [44:3]; *h₂ed- ‘grain, barley’ [18:273]; *H₂adHor [19:101–3, 117–"
9,11,,*h₂ed-,*h₂ed-,"?*h₂ed-o(s)- (*ades-, *ados- [44:3]; *h₂ed- ‘grain, barley’ [18:273]; *H₂adHor [19:101–3, 117–"
9,11,,*H₂adHor,*H₂adHor,"?*h₂ed-o(s)- (*ades-, *ados- [44:3]; *h₂ed- ‘grain, barley’ [18:273]; *H₂adHor [19:101–3, 117–"
9,12,,*h₂ed-,*h₂ed-,"8]; *h₂ed- ‘± grain’ [10]): Arm. hat ‘grain’ < *h₂ed-o(s)-; Go. atisk(s*) ‘grainfield’, OHG"
9,12,,*h₂ed-o(s)-,*h₂ed-o(s)-,"8]; *h₂ed- ‘± grain’ [10]): Arm. hat ‘grain’ < *h₂ed-o(s)-; Go. atisk(s*) ‘grainfield’, OHG"
9,12,,*),*),"8]; *h₂ed- ‘± grain’ [10]): Arm. hat ‘grain’ < *h₂ed-o(s)-; Go. atisk(s*) ‘grainfield’, OHG"
9,13,,*atiska-,*atiska-,"ezzisc m. ‘seeds’ < *atiska-; Lat. ador, -ō̆ris n. ‘sacral grain, (roasted) spelt’ < PIt. *adō̆ s- or"
9,13,,*adō̆,*adō̆,"ezzisc m. ‘seeds’ < *atiska-; Lat. ador, -ō̆ris n. ‘sacral grain, (roasted) spelt’ < PIt. *adō̆ s- or"
9,14,,*adō̆,*adō̆,*adō̆ r-; OIr. gl. ad ‘ador’ <? PC *ad(-os)-
9,14,,*ad(-os)-,*ad(-os)-,*adō̆ r-; OIr. gl. ad ‘ador’ <? PC *ad(-os)-
9,15,,*h₂ed-os,*h₂ed-os,An s-stem *h₂ed-os has been proposed to be continued by several European branches. This
9,17,,*h₂ed-,*h₂ed-,Armenian forms can alternatively be derived from a root noun *h₂ed- or an o-stem *h₂ed-o-.
9,17,,*h₂ed-o-.,*h₂ed-o-.,Armenian forms can alternatively be derived from a root noun *h₂ed- or an o-stem *h₂ed-o-.
9,18,,*atiska-,*atiska-,"No s-stem can be postulated on the basis of PGm. *atiska- (as if from *h₂ed-es-ko-), which"
9,18,,*h₂ed-es-ko-),*h₂ed-es-ko-),"No s-stem can be postulated on the basis of PGm. *atiska- (as if from *h₂ed-es-ko-), which"
9,19,,*-iska-,*-iska-,"rather continues an adjective in *-iska- [92:188], perhaps in elliptic use, e.g. *atiskaz akraz"
9,19,,*atiskaz,*atiskaz,"rather continues an adjective in *-iska- [92:188], perhaps in elliptic use, e.g. *atiskaz akraz"
9,21,,*h₂ed-ōs,*h₂ed-ōs,"ambiguous as well, and has been derived both from a collective s-stem *h₂ed-ōs [48:25; 93:128]"
9,22,,*h₂ed-ōr,*h₂ed-ōr,and a collective r-stem *h₂ed-ōr [92].
9,24,,*h₂ed-ō̆r,*h₂ed-ō̆r,"been compared [94:220] through a reconstruction *h₂ed-ō̆r [92; 95]. However, the more fre-"
9,25,,*t.,*t.,quent variant ḫattar rather mandates a protoform with *t. An alternative connection has
9,26,,*ātəyā-,*ātəyā-,"therefore been proposed with ToA āti, ToB ātiyo* n. ‘grass’ < PTo. *ātəyā- < *h₂et-u-ieh₂-,"
9,26,,*h₂et-u-ieh₂-,*h₂et-u-ieh₂-,"therefore been proposed with ToA āti, ToB ātiyo* n. ‘grass’ < PTo. *ātəyā- < *h₂et-u-ieh₂-,"
9,32,,*Hād(ʰ)-u(-kā̆)-.,*Hād(ʰ)-u(-kā̆)-.,seed grain(?)’ [98:968–9; 99; 100:1–7] < PIIr. *Hād(ʰ)-u(-kā̆)-. An unattested Old Persian cog-
9,33,,*ādu-,*ādu-,"nate *ādu-, potentially found in the month name ādukainaiša, further appears to have been"
9,36,,*h₂od-u-,*h₂od-u-,must continue an o-grade u-stem *h₂od-u- [93:128]. Derivation from the root *h₁ed- ‘eat’
9,36,,*h₁ed-,*h₁ed-,must continue an o-grade u-stem *h₂od-u- [93:128]. Derivation from the root *h₁ed- ‘eat’
9,38,,*h₂ed-os-,*h₂ed-os-,"In conclusion, the reconstruction of an s-stem *h₂ed-os- is possible for, or at least not con-"
9,41,,*h₂ed-,*h₂ed-,*h₂ed- that was somehow associated with (domesticated) cereals. It is possible that this root is
9,42,,*h₂ed-,*h₂ed-,"identical to *h₂ed- ‘dry, parch’, cf. Hitt. ḫāt-ⁱ / ḫat- ‘dry up, to become parched’ < *h₂od-, Gk."
9,42,,*h₂od-,*h₂od-,"identical to *h₂ed- ‘dry, parch’, cf. Hitt. ḫāt-ⁱ / ḫat- ‘dry up, to become parched’ < *h₂od-, Gk."
9,43,,*h₂ed-ie-,*h₂ed-ie-,"ἄzω ‘dry up’ < *h₂ed-ie- [92]. If correct, the implied semantic specialization can be understood"
9,46,,*h₂ed-,*h₂ed-,"and if the root *h₂ed- originally referred to such a practice, a semantic extension to the roasting"
10,1,,*h₂e(-h₂)i-r-ieh₂-,*h₂e(-h₂)i-r-ieh₂-,*h₂e(-h₂)i-r-ieh₂- (ai-rā [44:16]; *h₂érehₐ- ‘weed/ryegrass’ [18:7]; *h₂éreh₂- ‘weed/rye’ [10]):?
10,1,,*h₂érehₐ-,*h₂érehₐ-,*h₂e(-h₂)i-r-ieh₂- (ai-rā [44:16]; *h₂érehₐ- ‘weed/ryegrass’ [18:7]; *h₂éreh₂- ‘weed/rye’ [10]):?
10,1,,*h₂éreh₂-,*h₂éreh₂-,*h₂e(-h₂)i-r-ieh₂- (ai-rā [44:16]; *h₂érehₐ- ‘weed/ryegrass’ [18:7]; *h₂éreh₂- ‘weed/rye’ [10]):?
10,3,,*air(i̯)ā-,*air(i̯)ā-,"PGk. *air(i̯)ā-; Latv. aĩrenes ‘ryegrass’, dial. aĩres f.pl. ‘a kind of weed’ < PBSl. *airiaʔ-"
10,3,,*airiaʔ-,*airiaʔ-,"PGk. *air(i̯)ā-; Latv. aĩrenes ‘ryegrass’, dial. aĩres f.pl. ‘a kind of weed’ < PBSl. *airiaʔ-"
10,6,,*h₂ei-r-i(e)h₂-,*h₂ei-r-i(e)h₂-,"Both αἶρα and aĩres can be derived from a single protoform, viz. *h₂ei-r-i(e)h₂- or—if the"
10,7,,*h₂e-,*h₂e-,underlying acute intonation of the Latvian form can be taken at face value—reduplicated *h₂e-
10,11,,*Ha(H)ira-,*Ha(H)ira-,"269], but remains a possibility through a protoform PIIr. *Ha(H)ira- < PIE *h₂e(-h₂)i-ro-"
10,11,,*h₂e(-h₂)i-ro-,*h₂e(-h₂)i-ro-,"269], but remains a possibility through a protoform PIIr. *Ha(H)ira- < PIE *h₂e(-h₂)i-ro-"
10,19,,*h₂e(-h₂)i-r-ieh₂-,*h₂e(-h₂)i-r-ieh₂-,"In conclusion, it is possible to reconstruct a (core) PIE term *h₂e(-h₂)i-r-ieh₂-, perhaps a"
10,20,,*h₂e(-h₂)i-ro-,*h₂e(-h₂)i-ro-,"collective created to a more primary protoform *h₂e(-h₂)i-ro-, as potentially supported by the"
11,1,,*h₂eḱ-os-,*h₂eḱ-os-,"*h₂eḱ-os- (*a^kes-: *a^ks- [44:18–22]; *hₐe^kes- ‘ear of grain’ [18:237]): ToA āk*, ToB āke n. ‘end,"
11,1,,*a^kes-,*a^kes-,"*h₂eḱ-os- (*a^kes-: *a^ks- [44:18–22]; *hₐe^kes- ‘ear of grain’ [18:237]): ToA āk*, ToB āke n. ‘end,"
11,1,,*a^ks-,*a^ks-,"*h₂eḱ-os- (*a^kes-: *a^ks- [44:18–22]; *hₐe^kes- ‘ear of grain’ [18:237]): ToA āk*, ToB āke n. ‘end,"
11,1,,*hₐe^kes-,*hₐe^kes-,"*h₂eḱ-os- (*a^kes-: *a^ks- [44:18–22]; *hₐe^kes- ‘ear of grain’ [18:237]): ToA āk*, ToB āke n. ‘end,"
11,2,,*ake,*ake,"tip (of grass)’ < PTo. *ake; Go. ahs, ON ax, OE ēar, OHG ahar, ehir n. ‘ear of grain’ <"
11,3,,*ahiz-,*ahiz-,"*ahiz- ~ *ahsa-; Lat. acus, -eris n. ‘husks of grain or beans; chaff’ < PIt. *akos-"
11,3,,*ahsa-,*ahsa-,"*ahiz- ~ *ahsa-; Lat. acus, -eris n. ‘husks of grain or beans; chaff’ < PIt. *akos-"
11,3,,*akos-,*akos-,"*ahiz- ~ *ahsa-; Lat. acus, -eris n. ‘husks of grain or beans; chaff’ < PIt. *akos-"
11,8,,*h₂eḱk-,*h₂eḱk-,"*h₂eḱk- ‘sharp’. As a consequence, the agricultural connotation of PGm. *ahiz- ~ *ahsa- and"
11,8,,*ahiz-,*ahiz-,"*h₂eḱk- ‘sharp’. As a consequence, the agricultural connotation of PGm. *ahiz- ~ *ahsa- and"
11,8,,*ahsa-,*ahsa-,"*h₂eḱk- ‘sharp’. As a consequence, the agricultural connotation of PGm. *ahiz- ~ *ahsa- and"
11,11,,*h₂eḱk-ōs,*h₂eḱk-ōs,"form has been interpreted as deriving from a collective s-stem *h₂eḱk-ōs [114:371]. However,"
11,13,,*aka,*aka,"Since āka at face value continues PTo. *aka < *h₂eḱk-h₂, it might be preferable to separate it"
11,13,,*h₂eḱk-h₂,*h₂eḱk-h₂,"Since āka at face value continues PTo. *aka < *h₂eḱk-h₂, it might be preferable to separate it"
11,14,,*h₂eḱk-,*h₂eḱk-,from the European s-stems and instead postulate a root noun *h₂eḱk- as the derivational base
11,15,,*h₂eḱk-,*h₂eḱk-,"[59:39–40]. Regardless, if the word was derived from the PIE root *h₂eḱk-, the meaning ‘millet’"
11,17,†,*pano-).,†*pano-).,"cum ‘millet’ from Lat. pānus ‘tuft, ear (of millet)’ (see †*pano-)."
11,18,?,*h₂eḱ-ti-,?*h₂eḱ-ti-,"?*h₂eḱ-ti- (*a^ksti- [44:18–22]; *hₐe^kstí- ‘awn, bristle’ [18:237]; *h₂e^kstí- ‘ear’ [10]):? ToB āśce f."
11,18,,*a^ksti-,*a^ksti-,"?*h₂eḱ-ti- (*a^ksti- [44:18–22]; *hₐe^kstí- ‘awn, bristle’ [18:237]; *h₂e^kstí- ‘ear’ [10]):? ToB āśce f."
11,18,,*hₐe^kstí-,*hₐe^kstí-,"?*h₂eḱ-ti- (*a^ksti- [44:18–22]; *hₐe^kstí- ‘awn, bristle’ [18:237]; *h₂e^kstí- ‘ear’ [10]):? ToB āśce f."
11,18,,*h₂e^kstí-,*h₂e^kstí-,"?*h₂eḱ-ti- (*a^ksti- [44:18–22]; *hₐe^kstí- ‘awn, bristle’ [18:237]; *h₂e^kstí- ‘ear’ [10]):? ToB āśce f."
11,19,,*aśc-,*aśc-,"‘head’ < PTo. *aśc-; Lith. akstìs, dial. akštìs f. ‘thorn, prick’, Latv. aksts m. ‘prickle, tip’ < PB"
11,20,,*a(k)(ś)ti-,*a(k)(ś)ti-,"*a(k)(ś)ti-; Ru. ost’ f. ‘awn’, Pol. ość f. ‘fishbone, awn, thorn’, Sln. ǫ̑ st f. ‘point, prick’ < PSl."
11,21,,*ȏ,*ȏ,*ȏ stь
11,22,,*h₂eḱk-s-ti-,*h₂eḱk-s-ti-,"A formation *h₂eḱk-s-ti- has been reconstructed for Balto-Slavic and Celtic, but an alterna-"
11,23,,*h₂eḱk-ti-,*h₂eḱk-ti-,"tive reconstruction *h₂eḱk-ti- has been considered as well [115:48]. Whichever is correct, the"
11,26,,*ax(s)tīno-,*ax(s)tīno-,"[116:XX, 9] < PC *ax(s)tīno- [50:A, 57] appears to be a Weiterbildung to PC *ax(s)ti-, but the"
11,26,,*ax(s)ti-,*ax(s)ti-,"[116:XX, 9] < PC *ax(s)tīno- [50:A, 57] appears to be a Weiterbildung to PC *ax(s)ti-, but the"
11,27,,*attinno-.,*attinno-.,related OIr. aittenn m. ‘furze’ rather points to a PC form *attinno-. Even if the Irish form is a
11,32,,*h₂eḱk(-s)-ti-,*h₂eḱk(-s)-ti-,"*h₂eḱk(-s)-ti- in core Indo-European, including Tocharian, the semantic specialization as an"
11,34,,*h₂(e)lbʰ-it-,*h₂(e)lbʰ-it-,"*h₂(e)lbʰ-it- (*albhi- [44:29]; *h₂élbʰit ‘barley’ [18:51]; *albhi [19:58–9]; *h₂elbʰit- ‘± grain,?"
11,34,,*albhi-,*albhi-,"*h₂(e)lbʰ-it- (*albhi- [44:29]; *h₂élbʰit ‘barley’ [18:51]; *albhi [19:58–9]; *h₂elbʰit- ‘± grain,?"
11,34,,*h₂élbʰit,*h₂élbʰit,"*h₂(e)lbʰ-it- (*albhi- [44:29]; *h₂élbʰit ‘barley’ [18:51]; *albhi [19:58–9]; *h₂elbʰit- ‘± grain,?"
11,34,,*albhi,*albhi,"*h₂(e)lbʰ-it- (*albhi- [44:29]; *h₂élbʰit ‘barley’ [18:51]; *albhi [19:58–9]; *h₂elbʰit- ‘± grain,?"
11,34,,*h₂elbʰit-,*h₂elbʰit-,"*h₂(e)lbʰ-it- (*albhi- [44:29]; *h₂élbʰit ‘barley’ [18:51]; *albhi [19:58–9]; *h₂elbʰit- ‘± grain,?"
11,35,,*alpʰit-,*alpʰit-,"barley’ [10]): Gk. ἄλφι, pl. ἄλφιτα n. ‘barley-groats’ < PGk. *alpʰit-; Alb. elb m. ‘barley’ <"
11,36,,*albi(t)-,*albi(t)-,PAlb. *albi(t)-
11,38,,*arbusa-,*arbusa-,and similar forms have been compared through a protoform PIr. *arbusa- [18:51; 21:53;
11,39,,*arp-,*arp-,"67:367; 118:92]. However, these go back to unrelated PIIr. *arp- [81:10; 119:281], itself highly"
11,40,,*arpa,*arpa,"reminiscent of Turkic *arpa ‘barley’ [120:9]. Without the Iranian cognate, the word acquires a"
11,43,,*h₂(e)lbʰ-it-,*h₂(e)lbʰ-it-,"Etymologically, the formation *h₂(e)lbʰ-it- can possibly be derived from PIE *h₂elbʰ-"
11,43,,*h₂elbʰ-,*h₂elbʰ-,"Etymologically, the formation *h₂(e)lbʰ-it- can possibly be derived from PIE *h₂elbʰ-"
11,44,,*-it-,*-it-,"‘white’, with the suffix *-it- as found in PIE *mel-it- ‘honey’ [121:136–9] and perhaps in the"
11,44,,*mel-it-,*mel-it-,"‘white’, with the suffix *-it- as found in PIE *mel-it- ‘honey’ [121:136–9] and perhaps in the"
12,3,,*h₂erh₃-,*h₂erh₃-,*h₂erh₃- (*ar(ə)- ‘pflu¨gen’ [44:62–3]; *hₐérh₃ie/o- ‘plow’ [18:434]; *h₂érh₃ye/o- ‘plough’ [10]):
12,3,,*ar(ə)-,*ar(ə)-,*h₂erh₃- (*ar(ə)- ‘pflu¨gen’ [44:62–3]; *hₐérh₃ie/o- ‘plow’ [18:434]; *h₂érh₃ye/o- ‘plough’ [10]):
12,3,,*hₐérh₃ie/o-,*hₐérh₃ie/o-,*h₂erh₃- (*ar(ə)- ‘pflu¨gen’ [44:62–3]; *hₐérh₃ie/o- ‘plow’ [18:434]; *h₂érh₃ye/o- ‘plough’ [10]):
12,3,,*h₂érh₃ye/o-,*h₂érh₃ye/o-,*h₂erh₃- (*ar(ə)- ‘pflu¨gen’ [44:62–3]; *hₐérh₃ie/o- ‘plow’ [18:434]; *h₂érh₃ye/o- ‘plough’ [10]):
12,4,,*aroi̯e/o-,*aroi̯e/o-,"Gk. ἀρόω ‘plow, plant’ < PGk. *aroi̯e/o-; Lith. árti (ariù), Latv. ar^t ‘plow’ < PB *arʔi̯a-;"
12,4,,*arʔi̯a-,*arʔi̯a-,"Gk. ἀρόω ‘plow, plant’ < PGk. *aroi̯e/o-; Lith. árti (ariù), Latv. ar^t ‘plow’ < PB *arʔi̯a-;"
12,5,,*orje/o-,*orje/o-,"OCS orati, Ru. dial. orát’ (orjú), SCr. òrati < PSl. *orje/o-; Go. arjan, ON erja, OE erian,"
12,6,,*arjan-,*arjan-,OHG erien ‘plow’ < PGm. *arjan-; Lat. arāre ‘plow’ < PIt. *araje/o-; MIr. airim ‘plow’ <
12,6,,*araje/o-,*araje/o-,OHG erien ‘plow’ < PGm. *arjan-; Lat. arāre ‘plow’ < PIt. *araje/o-; MIr. airim ‘plow’ <
12,7,,*ari̯o-,*ari̯o-,PC *ari̯o-
12,8,,*h₂erh₃-ie-,*h₂erh₃-ie-,Several European branches attest to a verbal formation *h₂erh₃-ie- ‘plow’. No direct coun-
12,10,,*h₂érh₃-ur,*h₂érh₃-ur,"tation of the derived, widely distributed heteroclitic, *h₂érh₃-ur, gen. *h₂rh₂-uén-s, cf. Skt."
12,10,,*h₂rh₂-uén-s,*h₂rh₂-uén-s,"tation of the derived, widely distributed heteroclitic, *h₂érh₃-ur, gen. *h₂rh₂-uén-s, cf. Skt."
12,11,,*HrHuaraH-,*HrHuaraH-,"urvárā- f. ‘arable land, field’, Av. uruuarā- f.pl. ‘(edible?) plant’ < PIIr. *HrHuaraH-, Arm. har-"
12,12,,*h₂erh₃-uon-,*h₂erh₃-uon-,"awunk ‘sowing, seeds, arable land’ < *h₂erh₃-uon-, Gk. ἄρουρα f. ‘farmland’ < *h₂erh₃-ur-h₂-"
12,12,,*h₂erh₃-ur-h₂-,*h₂erh₃-ur-h₂-,"awunk ‘sowing, seeds, arable land’ < *h₂erh₃-uon-, Gk. ἄρουρα f. ‘farmland’ < *h₂erh₃-ur-h₂-"
12,13,,*aru̯ar,*aru̯ar,"and OIr. arbor, gen. -e n. ‘grain’ < PC *aru̯ar, *-ens (not with Witczak [19:82] from *H₂érgʷhr̥"
12,13,,*-ens,*-ens,"and OIr. arbor, gen. -e n. ‘grain’ < PC *aru̯ar, *-ens (not with Witczak [19:82] from *H₂érgʷhr̥"
12,13,,*H₂érgʷhr̥,*H₂érgʷhr̥,"and OIr. arbor, gen. -e n. ‘grain’ < PC *aru̯ar, *-ens (not with Witczak [19:82] from *H₂érgʷhr̥"
12,15,,*h₃erh₂-tro-,*h₃erh₂-tro-,"*h₃erh₂-tro- is also found in most core Indo-European branches, Arm. arawr, Gk. ἄροτρον,"
12,19,,*h₂erh₃-,*h₂erh₃-,"On the basis of this evidence, it is beyond doubt that a verbal root *h₂erh₃- with the mean-"
12,21,,*h₂erh₃-ur/n-,*h₂erh₃-ur/n-,"*h₂erh₃-ur/n-, present in both Europe and Asia, as well as to the formations *h₂erh₃-ie- in"
12,21,,*h₂erh₃-ie-,*h₂erh₃-ie-,"*h₂erh₃-ur/n-, present in both Europe and Asia, as well as to the formations *h₂erh₃-ie- in"
12,22,,*h₂erh₃-tro-,*h₂erh₃-tro-,Europe and *h₂erh₃-tro- in the European branches and quite possibly Tocharian. Prior to the
12,23,,*h₂erh₃-,*h₂erh₃-,"Indo-Anatolian split, the root *h₂erh₃- appears to have had a more primitive meaning. This is"
12,27,,*h₂erh₃-.,*h₂erh₃-.,"accepted etymology, but may contain the same root PIE *h₂erh₃-. It follows from the implied"
12,29,,*h₂erh₃-,*h₂erh₃-,"after the dissolution of Indo-Anatolian. Possibly, the root *h₂erh₃- had already acquired an"
12,32,,*ḥaraš-,*ḥaraš-,"potentially comes from Hitt. ḫārš-ⁱ ‘till (the soil)’, which, if not a loan from WSem. *ḥaraš-"
12,39,,*(H)ieu(H)-,*(H)ieu(H)-,*(H)ieu(H)- (*i̯eu̯o- [44:512]; *i̯éu̯os ~ *i̯éu̯om ‘grain (particularly barley?)’ [18:236]; *yewH₁
12,39,,*i̯eu̯o-,*i̯eu̯o-,*(H)ieu(H)- (*i̯eu̯o- [44:512]; *i̯éu̯os ~ *i̯éu̯om ‘grain (particularly barley?)’ [18:236]; *yewH₁
12,39,,*i̯éu̯os,*i̯éu̯os,*(H)ieu(H)- (*i̯eu̯o- [44:512]; *i̯éu̯os ~ *i̯éu̯om ‘grain (particularly barley?)’ [18:236]; *yewH₁
12,39,,*i̯éu̯om,*i̯éu̯om,*(H)ieu(H)- (*i̯eu̯o- [44:512]; *i̯éu̯os ~ *i̯éu̯om ‘grain (particularly barley?)’ [18:236]; *yewH₁
12,39,,*yewH₁,*yewH₁,*(H)ieu(H)- (*i̯eu̯o- [44:512]; *i̯éu̯os ~ *i̯éu̯om ‘grain (particularly barley?)’ [18:236]; *yewH₁
12,41,,*yéwos,*yéwos,"[19:43–4, 54]; *yéwos ‘± grain,? barley,? wheat’ [10]): Hitt. ewa(n)- n. ‘type of grain; por-"
12,42,,*(H)i̯eu̯,*(H)i̯eu̯,"ridge’ < PAn. *(H)i̯eu̯ a-; Skt. yáva- m. ‘grain, corn, crop, barley’, YAv. yauua- m. ‘grain’,"
12,43,,*(H)i̯au̯,*(H)i̯au̯,"Oss. jæw ‘millet’ < PIIr. *(H)i̯au̯ (H)a-; Gk. zειαί f.pl. ‘one-sided wheat, spelt’ < PGk."
12,44,,*i̯eu̯,*i̯eu̯,"*i̯eu̯ i̯a-; Lith. javaĩ m.pl. ‘corn, grain’ < PB *jav(ʔ)a-"
12,44,,*jav(ʔ)a-,*jav(ʔ)a-,"*i̯eu̯ i̯a-; Lith. javaĩ m.pl. ‘corn, grain’ < PB *jav(ʔ)a-"
12,45,,*(H)ieu(H)-o-.,*(H)ieu(H)-o-.,"Anatolian, Indo-Iranian and Baltic share a common formation *(H)ieu(H)-o-. Hittite also"
12,47,,*(H)ieu(H)-ieh₂-.,*(H)ieu(H)-ieh₂-.,tive?) formation *(H)ieu(H)-ieh₂-. The previously included ToB yap < PTo. *yəp- [18:236;
12,47,,*yəp-,*yəp-,tive?) formation *(H)ieu(H)-ieh₂-. The previously included ToB yap < PTo. *yəp- [18:236;
13,7,,*Hieu(H)-,*Hieu(H)-,root [55:442; 85:147–8]. One suggestion has been to derive it from a verbal root *Hieu(H)-
13,9,,*h₂ei-u-,*h₂ei-u-,"based on that of *h₂ei-u- ‘(old) age’, the loss of the laryngeal would be irregular in Hittite."
13,10,,*HieuH-,*HieuH-,"Another proposed connection is with the root *HieuH- ‘graze’, cf. Skt. yávasa- n. ‘grass, fod-"
13,11,,*HieuH-es-o-,*HieuH-es-o-,"der, pasturage’, YAv. yauuaŋha- n. ‘pasture’ < *HieuH-es-o-, and possibly Kal. žu- ‘eat’, Wakh."
13,13,,*Hieuh₂-men-eh₂-,*Hieuh₂-men-eh₂-,"ture, flood plain, meadow’, continuing *Hieuh₂-men-eh₂- [134], it is formally incompatible"
13,15,,*Hoket-(i)eh₂-,*Hoket-(i)eh₂-,"*Hoket-(i)eh₂- (*o^ketā ‘Egge, Gera¨t mit Spitzen’ [44:18–22]; *h₁/₄okétehₐ- ‘harrow, rake’"
13,15,,*o^ketā,*o^ketā,"*Hoket-(i)eh₂- (*o^ketā ‘Egge, Gera¨t mit Spitzen’ [44:18–22]; *h₁/₄okétehₐ- ‘harrow, rake’"
13,15,,*h₁/₄okétehₐ-,*h₁/₄okétehₐ-,"*Hoket-(i)eh₂- (*o^ketā ‘Egge, Gera¨t mit Spitzen’ [44:18–22]; *h₁/₄okétehₐ- ‘harrow, rake’"
13,16,,*h₁/₄ek-,*h₁/₄ek-,"[18:434–5]; *h₁/₄ek- ‘rake, harrow’ [135:176]; *h₃ekétehₐ- ‘harrow’ [10]): Oss. I adæg ‘har-"
13,16,,*h₃ekétehₐ-,*h₃ekétehₐ-,"[18:434–5]; *h₁/₄ek- ‘rake, harrow’ [135:176]; *h₃ekétehₐ- ‘harrow’ [10]): Oss. I adæg ‘har-"
13,17,,*ātakā-,*ātakā-,"row’ <? PIr. *ātakā-; Lith. akė́čios, dial. ekė́čios f.pl. ‘harrow’, Latv. ecê(k)šas f.pl. ‘harrow’,"
13,18,,*ake¯tiā-,*ake¯tiā-,OPru. EV aketes ‘harrow’ < *ake¯tiā- (whence possibly Fi. äes ‘harrow’ [136:146; 137:147 fn.
13,19,,*age/iþ(j)ō-,*age/iþ(j)ō-,"33]); OHG egida, OS gl. egitha, OE egeðe f. ‘harrow’ < *age/iþ(j)ō-; Lat. occa f. ‘harrow(?),"
13,20,,*otVkā-(?),*otVkā-(?),"rake(?), hayrack’, Ital. dial. (Triento) oca ‘harrow’ < *otVkā-(?); OW ocet, Corn. ocet,"
13,21,,*oke/itā,*oke/itā,MBret. oguet ‘harrow’ < PC *oke/itā
13,24,,*esetь,*esetь,"would show a different formation. The connection of PSl. *esetь, cf. Ukr. oset’ ‘place for the"
13,27,,*oke/itā,*oke/itā,"Formally, the Celtic and Italic forms can be combined into *oke/itā under the assumption"
13,29,,*tk,*tk,"of *tk > kk [140:230]. The Germanic form, usually reconstructed as *agiþō-, can be derived"
13,29,,*agiþō-,*agiþō-,"of *tk > kk [140:230]. The Germanic form, usually reconstructed as *agiþō-, can be derived"
