label	line	pdf_page	source_page	context
OE	2000	pdf-119	103	3. In identifying OE words surviving in ModE for the experiment reported in the text, etymologically related words actually borrowed from Norse had to be excluded; the fact that most surviving OE documents are written in the West Saxon dialect (which is thus the basis of the glossary), while all the
OE	2000	pdf-119	103	3. In identifying OE words surviving in ModE for the experiment reported in the text, etymologically related words actually borrowed from Norse had to be excluded; the fact that most surviving OE documents are written in the West Saxon dialect (which is thus the basis of the glossary), while all the
French	2002	pdf-119	103	4. We analyze the initial segments of, e.g., French hier, huit, oiseau as high vowels /i y u/respectively, since there is no clear evidence that prevocalic high vowels and semivowels contrast in that language, and some evidence that these segments are simply vowels (note that they do not inhibit eli
Latin	2002	pdf-119	103	4. We analyze the initial segments of, e.g., French hier, huit, oiseau as high vowels /i y u/respectively, since there is no clear evidence that prevocalic high vowels and semivowels contrast in that language, and some evidence that these segments are simply vowels (note that they do not inhibit eli
French	2002	pdf-119	103	4. We analyze the initial segments of, e.g., French hier, huit, oiseau as high vowels /i y u/respectively, since there is no clear evidence that prevocalic high vowels and semivowels contrast in that language, and some evidence that these segments are simply vowels (note that they do not inhibit eli
Romanian	2002	pdf-119	103	4. We analyze the initial segments of, e.g., French hier, huit, oiseau as high vowels /i y u/respectively, since there is no clear evidence that prevocalic high vowels and semivowels contrast in that language, and some evidence that these segments are simply vowels (note that they do not inhibit eli
Latin	2002	pdf-119	103	4. We analyze the initial segments of, e.g., French hier, huit, oiseau as high vowels /i y u/respectively, since there is no clear evidence that prevocalic high vowels and semivowels contrast in that language, and some evidence that these segments are simply vowels (note that they do not inhibit eli
French	2002	pdf-119	103	4. We analyze the initial segments of, e.g., French hier, huit, oiseau as high vowels /i y u/respectively, since there is no clear evidence that prevocalic high vowels and semivowels contrast in that language, and some evidence that these segments are simply vowels (note that they do not inhibit eli
Latin	2002	pdf-119	103	4. We analyze the initial segments of, e.g., French hier, huit, oiseau as high vowels /i y u/respectively, since there is no clear evidence that prevocalic high vowels and semivowels contrast in that language, and some evidence that these segments are simply vowels (note that they do not inhibit eli
Romanian	2004	pdf-119	103	5. Romanian ă is a central mid vowel. The development of ‘milk’ must have involved at least some paradigm restructuring. The Romanian direct case reflects the Latin nominative, accusative, or both, but in Latin both the nominative and accusative of the neuter ‘milk’
Romanian	2004	pdf-119	103	5. Romanian ă is a central mid vowel. The development of ‘milk’ must have involved at least some paradigm restructuring. The Romanian direct case reflects the Latin nominative, accusative, or both, but in Latin both the nominative and accusative of the neuter ‘milk’
Latin	2004	pdf-119	103	5. Romanian ă is a central mid vowel. The development of ‘milk’ must have involved at least some paradigm restructuring. The Romanian direct case reflects the Latin nominative, accusative, or both, but in Latin both the nominative and accusative of the neuter ‘milk’
Latin	2004	pdf-119	103	5. Romanian ă is a central mid vowel. The development of ‘milk’ must have involved at least some paradigm restructuring. The Romanian direct case reflects the Latin nominative, accusative, or both, but in Latin both the nominative and accusative of the neuter ‘milk’
French	2008	pdf-120	104	were lac; evidently the oblique stem lact- was leveled into the direct forms (as also in Italian latte, French lait, Spanish leche, etc.).
Tocharian	2012	pdf-120	104	7. The Tocharian languages were written in an Indian alphabet. ś was a palatal or prepalatal sibilant fricative; ś and c were probably pronounced at the same point of articulation, given that ś is the only sibilant allowed to be the immediate left neighbor of c. (For instance, the nominative singula
Tocharian	2012	pdf-120	104	7. The Tocharian languages were written in an Indian alphabet. ś was a palatal or prepalatal sibilant fricative; ś and c were probably pronounced at the same point of articulation, given that ś is the only sibilant allowed to be the immediate left neighbor of c. (For instance, the nominative singula
Proto-Algonkian	2014	pdf-120	104	8. Our account of the development of Proto-Algonkian *θ is simplified; what really happened is the following. There were three relevant underlying consonants in Proto-Algonkian, as follows:
Proto-Algonkian	2014	pdf-120	104	8. Our account of the development of Proto-Algonkian *θ is simplified; what really happened is the following. There were three relevant underlying consonants in Proto-Algonkian, as follows:
Fox	2016	pdf-120	104	In most Algonkian languages *θ first merged with *l as *l; the result was a system in which some */l/ were palatalized to *[ʃ] before high front vocalics, while others were not. Some languages leveled the alternation; others, including Fox, generalized it to all */l/’s. Subsequently */l/ – which now
Fox	2016	pdf-120	104	In most Algonkian languages *θ first merged with *l as *l; the result was a system in which some */l/ were palatalized to *[ʃ] before high front vocalics, while others were not. Some languages leveled the alternation; others, including Fox, generalized it to all */l/’s. Subsequently */l/ – which now
Latin	2018	pdf-120	104	9. Archaic Latin spelling of the velar stops was somewhat confused (for reasons having to do with the origin of the Roman alphabet). The voiceless velar stop /k/ was variously spelled c, k, and q; but the voiced stop /g/ was originally also spelled with c (i.e. with gamma, e.g. in ‘king’ and ‘girl’ 
Latin	2020	pdf-120	104	10. In the last three examples in Table 5.11 the first form is the usual Latin present infinitive; the second, called the “supine,” is used to express purpose when governed by a verb of motion. The supine suffix was etymologically *-tu- but had been reanalyzed as /-su-/ in some verbs, e.g. manēre, m
Old English	2047	pdf-122	106	**Figure 6.1 First assimilation of Old English gædeling**
Old English	2049	pdf-122	106	> [Figure description: Autosegmental feature diagram for the first assimilation in Old English gædeling, with consonant-vowel slots and vowel-feature tiers showing frontness and height spreading.]
Old English	2053	pdf-122	106	**Figure 6.2 Second assimilation of Old English gædeling**
Old English	2055	pdf-122	106	> [Figure description: Autosegmental feature diagram for the second assimilation in Old English gædeling, showing further spreading of frontness/height features across the vowel tier.]
Old English	2057	pdf-122	106	distinctive features. In Old English (OE), for example, the inherited word *gaduling ‘kinsman, companion’ (attested in that form in Old Saxon) became *gædyling: the high vowel of the second syllable was fronted because the vowel of the last syllable was high and front; then, since the second syllabl
OE	2057	pdf-122	106	distinctive features. In Old English (OE), for example, the inherited word *gaduling ‘kinsman, companion’ (attested in that form in Old Saxon) became *gædyling: the high vowel of the second syllable was fronted because the vowel of the last syllable was high and front; then, since the second syllabl
Old English	2061	pdf-122	106	> [Figure description: Autosegmental feature diagram for the first assimilation in Old English gædeling, with consonant-vowel slots and vowel-feature tiers showing frontness and height spreading.]
Old English	2067	pdf-122	106	> [Figure description: Autosegmental feature diagram for the second assimilation in Old English gædeling, showing further spreading of frontness/height features across the vowel tier.]
Sanskrit	2071	pdf-122	106	Autosegmental phonology also gives an insightful account of the details of the Sanskrit retroflex assimilation rule. To make the analysis of Sanskrit retroflexion intelligible we must first describe the relevant subsystem of sounds in some detail – a task which is possible thanks to the extraordinar
Sanskrit	2071	pdf-122	106	Autosegmental phonology also gives an insightful account of the details of the Sanskrit retroflex assimilation rule. To make the analysis of Sanskrit retroflexion intelligible we must first describe the relevant subsystem of sounds in some detail – a task which is possible thanks to the extraordinar
Sanskrit	2071	pdf-122	106	Autosegmental phonology also gives an insightful account of the details of the Sanskrit retroflex assimilation rule. To make the analysis of Sanskrit retroflexion intelligible we must first describe the relevant subsystem of sounds in some detail – a task which is possible thanks to the extraordinar
Sanskrit	2089	pdf-123	107	> † In the standard transliteration of Sanskrit the retroflex consonants are represented by dental or
Ancient Greek	2115	pdf-124	108	Syllable structure, as described in metrical phonology, also plays a role in phonological rule systems because it plays a role in sound change. The type of rule called “compensatory lengthening” is a case in point. Various dialects of Ancient Greek provide three examples of compensatory lengthening;
Attic	2115	pdf-124	108	Syllable structure, as described in metrical phonology, also plays a role in phonological rule systems because it plays a role in sound change. The type of rule called “compensatory lengthening” is a case in point. Various dialects of Ancient Greek provide three examples of compensatory lengthening;
Ancient Greek	2125	pdf-125	109	**Figure 6.3 Second compensatory lengthening in Ancient Greek**
Ancient Greek	2127	pdf-125	109	> [Figure description: Syllable-rime diagram for second compensatory lengthening in Ancient Greek, showing a syllable node, rime, two moras, and V/C timing slots associated with vocalic features and /n/.]
Latin	2131	pdf-125	109	This rule too replicates what happened historically, but it replicates two sound changes, not just one. The vowel was probably nasalized before [n] was deleted; that was probably an automatic coarticulation, not a separate change (Ohala 1981: 181–2 with references, 186, 1993: 247–8). Failure to clos
Latin	2131	pdf-125	109	This rule too replicates what happened historically, but it replicates two sound changes, not just one. The vowel was probably nasalized before [n] was deleted; that was probably an automatic coarticulation, not a separate change (Ohala 1981: 181–2 with references, 186, 1993: 247–8). Failure to clos
OE	2141	pdf-126	110	Metathesis seems at first to be the more obvious case, since the errors that give rise to it are evidently errors in the timing of phonological units which are already part of the language. The (inconsistent) metathesis of OE græs ‘grass’ to gærs, for example, must at first have resulted from the mi
Latin	2141	pdf-126	110	Metathesis seems at first to be the more obvious case, since the errors that give rise to it are evidently errors in the timing of phonological units which are already part of the language. The (inconsistent) metathesis of OE græs ‘grass’ to gærs, for example, must at first have resulted from the mi
Proto-Indo-European	2143	pdf-126	110	The Proto-Indo-European (PIE) word for ‘wolf’ is securely reconstructable as *ẃl̥kwos (cf. Sanskrit v́r̥ kas, Avestan vəhrkō, Old Church Slavonic vlŭkŭ, Lithuanian vilkas ̃, Gothic wulfs), with a typologically unusual sequence of an initial nonsyllabic vowel followed by a syllabic lateral. In Greek 
PIE	2143	pdf-126	110	The Proto-Indo-European (PIE) word for ‘wolf’ is securely reconstructable as *ẃl̥kwos (cf. Sanskrit v́r̥ kas, Avestan vəhrkō, Old Church Slavonic vlŭkŭ, Lithuanian vilkas ̃, Gothic wulfs), with a typologically unusual sequence of an initial nonsyllabic vowel followed by a syllabic lateral. In Greek 
Sanskrit	2143	pdf-126	110	The Proto-Indo-European (PIE) word for ‘wolf’ is securely reconstructable as *ẃl̥kwos (cf. Sanskrit v́r̥ kas, Avestan vəhrkō, Old Church Slavonic vlŭkŭ, Lithuanian vilkas ̃, Gothic wulfs), with a typologically unusual sequence of an initial nonsyllabic vowel followed by a syllabic lateral. In Greek 
Avestan	2143	pdf-126	110	The Proto-Indo-European (PIE) word for ‘wolf’ is securely reconstructable as *ẃl̥kwos (cf. Sanskrit v́r̥ kas, Avestan vəhrkō, Old Church Slavonic vlŭkŭ, Lithuanian vilkas ̃, Gothic wulfs), with a typologically unusual sequence of an initial nonsyllabic vowel followed by a syllabic lateral. In Greek 
Gothic	2143	pdf-126	110	The Proto-Indo-European (PIE) word for ‘wolf’ is securely reconstructable as *ẃl̥kwos (cf. Sanskrit v́r̥ kas, Avestan vəhrkō, Old Church Slavonic vlŭkŭ, Lithuanian vilkas ̃, Gothic wulfs), with a typologically unusual sequence of an initial nonsyllabic vowel followed by a syllabic lateral. In Greek 
Latin	2143	pdf-126	110	The Proto-Indo-European (PIE) word for ‘wolf’ is securely reconstructable as *ẃl̥kwos (cf. Sanskrit v́r̥ kas, Avestan vəhrkō, Old Church Slavonic vlŭkŭ, Lithuanian vilkas ̃, Gothic wulfs), with a typologically unusual sequence of an initial nonsyllabic vowel followed by a syllabic lateral. In Greek 
Latin	2143	pdf-126	110	The Proto-Indo-European (PIE) word for ‘wolf’ is securely reconstructable as *ẃl̥kwos (cf. Sanskrit v́r̥ kas, Avestan vəhrkō, Old Church Slavonic vlŭkŭ, Lithuanian vilkas ̃, Gothic wulfs), with a typologically unusual sequence of an initial nonsyllabic vowel followed by a syllabic lateral. In Greek 
PIE	2145	pdf-126	110	A converse change has affected the PIE noun-forming suffix *-wr̥, but not in the same daughter languages. In Greek this suffix developed normally to *-war; e.g. Homeric Greek ê:dar εἦδαρ ‘food’ < *édwar (cf. édmenai ἔδμεναι ‘to eat’). In Sanskrit, however, the suffix became -ur by metathesis of syll
Sanskrit	2145	pdf-126	110	A converse change has affected the PIE noun-forming suffix *-wr̥, but not in the same daughter languages. In Greek this suffix developed normally to *-war; e.g. Homeric Greek ê:dar εἦδαρ ‘food’ < *édwar (cf. édmenai ἔδμεναι ‘to eat’). In Sanskrit, however, the suffix became -ur by metathesis of syll
PIE	2145	pdf-126	110	A converse change has affected the PIE noun-forming suffix *-wr̥, but not in the same daughter languages. In Greek this suffix developed normally to *-war; e.g. Homeric Greek ê:dar εἦδαρ ‘food’ < *édwar (cf. édmenai ἔδμεναι ‘to eat’). In Sanskrit, however, the suffix became -ur by metathesis of syll
PIE	2147	pdf-126	110	we find, e.g. pahhur ‘fire’, dat.-loc. pahhueni ‘in the fire’ < PIE *péh₂-wr̥, *ph₂wén-i (Melchert 1994: 55). A similar change may have occurred in the Old Irish name Olc, if its original meaning was ‘wolf’ (McCone 1985).
Old Irish	2147	pdf-126	110	we find, e.g. pahhur ‘fire’, dat.-loc. pahhueni ‘in the fire’ < PIE *péh₂-wr̥, *ph₂wén-i (Melchert 1994: 55). A similar change may have occurred in the Old Irish name Olc, if its original meaning was ‘wolf’ (McCone 1985).
PIE	2155	pdf-127	111	In the cases just sketched it is perhaps unsurprising that metathesis yielded already existing feature bundles, given how common syllabic u and nonsyllabic r and l are cross-linguistically. Much stranger are the metatheses that affected the word for ‘tongue’ in two less well-known daughters of PIE. 
Latin	2155	pdf-127	111	In the cases just sketched it is perhaps unsurprising that metathesis yielded already existing feature bundles, given how common syllabic u and nonsyllabic r and l are cross-linguistically. Much stranger are the metatheses that affected the word for ‘tongue’ in two less well-known daughters of PIE. 
Proto-Germanic	2155	pdf-127	111	In the cases just sketched it is perhaps unsurprising that metathesis yielded already existing feature bundles, given how common syllabic u and nonsyllabic r and l are cross-linguistically. Much stranger are the metatheses that affected the word for ‘tongue’ in two less well-known daughters of PIE. 
German	2155	pdf-127	111	In the cases just sketched it is perhaps unsurprising that metathesis yielded already existing feature bundles, given how common syllabic u and nonsyllabic r and l are cross-linguistically. Much stranger are the metatheses that affected the word for ‘tongue’ in two less well-known daughters of PIE. 
Oscan	2155	pdf-127	111	In the cases just sketched it is perhaps unsurprising that metathesis yielded already existing feature bundles, given how common syllabic u and nonsyllabic r and l are cross-linguistically. Much stranger are the metatheses that affected the word for ‘tongue’ in two less well-known daughters of PIE. 
Tocharian	2157	pdf-127	111	in which only the laryngeal features of the stops have switched placed in the sequence of feature bundles. A converse change may have affected this word in the prehistory of Tocharian. The attested forms and the reconstructable Proto- Tocharian form show that some sort of metathesis has occurred (se
Tocharian	2157	pdf-127	111	in which only the laryngeal features of the stops have switched placed in the sequence of feature bundles. A converse change may have affected this word in the prehistory of Tocharian. The attested forms and the reconstructable Proto- Tocharian form show that some sort of metathesis has occurred (se
Tocharian	2159	pdf-127	111	Proto-Tocharian *kəntwá-, nom. sg. *kəntwó One might suppose that the *d and *ǵʰ of the PIE word had simply been transposed. But PIE *d normally disappeared without a trace in Tocharian whenever a nonsyllabic immediately followed (cf. Ringe 1996b: 64–6 with references). We could suggest that the met
PIE	2159	pdf-127	111	Proto-Tocharian *kəntwá-, nom. sg. *kəntwó One might suppose that the *d and *ǵʰ of the PIE word had simply been transposed. But PIE *d normally disappeared without a trace in Tocharian whenever a nonsyllabic immediately followed (cf. Ringe 1996b: 64–6 with references). We could suggest that the met
PIE	2159	pdf-127	111	Proto-Tocharian *kəntwá-, nom. sg. *kəntwó One might suppose that the *d and *ǵʰ of the PIE word had simply been transposed. But PIE *d normally disappeared without a trace in Tocharian whenever a nonsyllabic immediately followed (cf. Ringe 1996b: 64–6 with references). We could suggest that the met
Tocharian	2159	pdf-127	111	Proto-Tocharian *kəntwá-, nom. sg. *kəntwó One might suppose that the *d and *ǵʰ of the PIE word had simply been transposed. But PIE *d normally disappeared without a trace in Tocharian whenever a nonsyllabic immediately followed (cf. Ringe 1996b: 64–6 with references). We could suggest that the met
PIE	2166	pdf-127	111	(7)       PIE *dn̥ ǵʰwéh₂- > *dn̥ gʰwā- →*dʰn̥ gwā- > fangvā-
Tocharian	2167	pdf-127	111	(8)       Tocharian A käntu, pl. käntwā-ñ, Tocharian B kantwo, dimin. käntwā-śke <
Tocharian	2167	pdf-127	111	(8)       Tocharian A käntu, pl. käntwā-ñ, Tocharian B kantwo, dimin. käntwā-śke <
PIE	2168	pdf-127	111	(9)       PIE *dn̥ ǵʰwéh₂- > *dn̥ gʰwā́- → *gn̥ dʰwā́- > Proto-Tocharian *kəntwá-
Tocharian	2168	pdf-127	111	(9)       PIE *dn̥ ǵʰwéh₂- > *dn̥ gʰwā́- → *gn̥ dʰwā́- > Proto-Tocharian *kəntwá-
Latin	2173	pdf-128	112	**Table 6.1 Latin /-li-/, /-āli-/, default realizations**
Latin	2193	pdf-128	112	The outputs of dissimilation seem similarly constrained by the inventory of already existing feature bundle types. The best-known examples involve the interchange of rhotics and laterals. For instance, Latin inherited several adjective-forming suffixes ending in -li-, the commonest of which is -āli-
Latin	2197	pdf-129	113	**Table 6.2 Latin /-li-/, /-āli-/ with dissimilation**
Latin	2209	pdf-129	113	**Table 6.3 Latin /-āli-/, dissimilation blocked**
Latin	2218	pdf-129	113	base contains an l, the l of the suffix dissimilates to r, as in Table 6.2. The dissimilation is blocked if an r intervenes between the two l’s, as in Table 6.3. It seems clear that in Latin there is a constraint against having two l’s adjacent (on the tier on which the melody of l resides) in deriv
Latin	2218	pdf-129	113	base contains an l, the l of the suffix dissimilates to r, as in Table 6.2. The dissimilation is blocked if an r intervenes between the two l’s, as in Table 6.3. It seems clear that in Latin there is a constraint against having two l’s adjacent (on the tier on which the melody of l resides) in deriv
Latin	2218	pdf-129	113	base contains an l, the l of the suffix dissimilates to r, as in Table 6.2. The dissimilation is blocked if an r intervenes between the two l’s, as in Table 6.3. It seems clear that in Latin there is a constraint against having two l’s adjacent (on the tier on which the melody of l resides) in deriv
Latin	2218	pdf-129	113	base contains an l, the l of the suffix dissimilates to r, as in Table 6.2. The dissimilation is blocked if an r intervenes between the two l’s, as in Table 6.3. It seems clear that in Latin there is a constraint against having two l’s adjacent (on the tier on which the melody of l resides) in deriv
Menomini	2218	pdf-129	113	base contains an l, the l of the suffix dissimilates to r, as in Table 6.2. The dissimilation is blocked if an r intervenes between the two l’s, as in Table 6.3. It seems clear that in Latin there is a constraint against having two l’s adjacent (on the tier on which the melody of l resides) in deriv
Hawaiian	2224	pdf-130	114	Recently Ives Goddard has called attention to the fact that a wide range of regular sound changes which are not structure-preserving also do not appear to reflect low-level phonetic rules with gradient outputs. The most striking examples are unconditioned “saltatory” sound changes, in which the phon
Samoan	2224	pdf-130	114	Recently Ives Goddard has called attention to the fact that a wide range of regular sound changes which are not structure-preserving also do not appear to reflect low-level phonetic rules with gradient outputs. The most striking examples are unconditioned “saltatory” sound changes, in which the phon
Proto-Algonkian	2224	pdf-130	114	Recently Ives Goddard has called attention to the fact that a wide range of regular sound changes which are not structure-preserving also do not appear to reflect low-level phonetic rules with gradient outputs. The most striking examples are unconditioned “saltatory” sound changes, in which the phon
Ancient Greek	2226	pdf-130	114	A somewhat different case is the conditioned sound change in the easterly dialects of Ancient Greek called the “third compensatory lengthening” (3CL, incidentally encountered in the Homeric Greek words for ‘food’ and ‘end (of a rope)’, cited above). In that sound change a sequence *VTw, where *T is 
Ionic	2226	pdf-130	114	A somewhat different case is the conditioned sound change in the easterly dialects of Ancient Greek called the “third compensatory lengthening” (3CL, incidentally encountered in the Homeric Greek words for ‘food’ and ‘end (of a rope)’, cited above). In that sound change a sequence *VTw, where *T is 
Ancient Greek	2226	pdf-130	114	A somewhat different case is the conditioned sound change in the easterly dialects of Ancient Greek called the “third compensatory lengthening” (3CL, incidentally encountered in the Homeric Greek words for ‘food’ and ‘end (of a rope)’, cited above). In that sound change a sequence *VTw, where *T is 
Attic	2226	pdf-130	114	A somewhat different case is the conditioned sound change in the easterly dialects of Ancient Greek called the “third compensatory lengthening” (3CL, incidentally encountered in the Homeric Greek words for ‘food’ and ‘end (of a rope)’, cited above). In that sound change a sequence *VTw, where *T is 
Attic	2236	pdf-131	115	A striking example of rule simplification is provided by the Attic dialect of Ancient Greek. Because most endings of the Ancient Greek mediopassive perfect and pluperfect begin with consonants, and because many stems to which those endings are suffixed end in consonants, forms of those tenses provid
Ancient Greek	2236	pdf-131	115	A striking example of rule simplification is provided by the Attic dialect of Ancient Greek. Because most endings of the Ancient Greek mediopassive perfect and pluperfect begin with consonants, and because many stems to which those endings are suffixed end in consonants, forms of those tenses provid
Ancient Greek	2236	pdf-131	115	A striking example of rule simplification is provided by the Attic dialect of Ancient Greek. Because most endings of the Ancient Greek mediopassive perfect and pluperfect begin with consonants, and because many stems to which those endings are suffixed end in consonants, forms of those tenses provid
Ancient Greek	2251	pdf-132	116	**Table 6.4 Mediopassive perfect forms of six Ancient Greek verbs**
Attic	2268	pdf-132	116	Most of the rules given above, including most of the rules conflated under (d), are completely general phonological rules of Attic Greek: not only do they apply to all derived forms, they also operate as “morpheme structure constraints” (MSCs) on underlying forms. For instance, the /kt/ of árktos ἄρ
Attic	2272	pdf-133	117	It is true that the only bilabial which can precede m in Attic Greek is m; the sequences *pm, *bm, and *pʰm do not occur. The subrule nasalizing bilabial stops before /m/ can be illustrated with numerous derived examples, of which some are adduced in (10).
Attic	2347	pdf-135	119	consonant which was not underlyingly aspirated was replaced by its aspirated counterpart before these two endings (!). In other words, the 3pl. endings had become underlying pf. /-hatai/, plup. /-hato/, and a rule combined the /h/ of the endings with stem-final labial and velar stops to yield [pʰ] a
Attic	2347	pdf-135	119	consonant which was not underlyingly aspirated was replaced by its aspirated counterpart before these two endings (!). In other words, the 3pl. endings had become underlying pf. /-hatai/, plup. /-hato/, and a rule combined the /h/ of the endings with stem-final labial and velar stops to yield [pʰ] a
Ionic	2347	pdf-135	119	consonant which was not underlyingly aspirated was replaced by its aspirated counterpart before these two endings (!). In other words, the 3pl. endings had become underlying pf. /-hatai/, plup. /-hato/, and a rule combined the /h/ of the endings with stem-final labial and velar stops to yield [pʰ] a
Ionic	2347	pdf-135	119	consonant which was not underlyingly aspirated was replaced by its aspirated counterpart before these two endings (!). In other words, the 3pl. endings had become underlying pf. /-hatai/, plup. /-hato/, and a rule combined the /h/ of the endings with stem-final labial and velar stops to yield [pʰ] a
Ionic	2347	pdf-135	119	consonant which was not underlyingly aspirated was replaced by its aspirated counterpart before these two endings (!). In other words, the 3pl. endings had become underlying pf. /-hatai/, plup. /-hato/, and a rule combined the /h/ of the endings with stem-final labial and velar stops to yield [pʰ] a
Attic	2368	pdf-135	119	(There are quite a few other examples to roots ending in /-g-/, and a couple more to roots ending in /-pʰ-/ and /-kʰ-/.) We know that this was a prehistoric innovation of the Attic-Ionic dialect group: the endings were originally -atai, -ato < *-n̥tai, *-n̥to (with no underlying /h/), and they still
Ionic	2368	pdf-135	119	(There are quite a few other examples to roots ending in /-g-/, and a couple more to roots ending in /-pʰ-/ and /-kʰ-/.) We know that this was a prehistoric innovation of the Attic-Ionic dialect group: the endings were originally -atai, -ato < *-n̥tai, *-n̥to (with no underlying /h/), and they still
Middle English	2372	pdf-136	120	**Figure 6.4 Early southern Middle English vowels**
Middle English	2374	pdf-136	120	> [Figure description: Vowel chart for early southern Middle English vowels. The chart contrasts high /ī, i, u, ū/, mid /ē, ȫ, ō/, lower-mid /ę̄, ę, ǫ, ǭ/, and low /a/. Lower mid vowels are marked with subscript hooks in the source.]
Middle English	2376	pdf-136	120	A rule simplification which must have had a rather different motivation can be cited from Middle English (ME). Sometime in the eleventh century the famous “trisyllabic shortening” rule entered the phonology of English; it shortened long vowels in stressed syllables provided that (a) the vowel was in
ME	2376	pdf-136	120	A rule simplification which must have had a rather different motivation can be cited from Middle English (ME). Sometime in the eleventh century the famous “trisyllabic shortening” rule entered the phonology of English; it shortened long vowels in stressed syllables provided that (a) the vowel was in
OE	2376	pdf-136	120	A rule simplification which must have had a rather different motivation can be cited from Middle English (ME). Sometime in the eleventh century the famous “trisyllabic shortening” rule entered the phonology of English; it shortened long vowels in stressed syllables provided that (a) the vowel was in
ME	2422	pdf-137	121	What is striking about this rule simplification is that it made the learning of inflectional morphology less straightforward. The crucial point is that there were no verbs with ǭ in the root that had past tenses to which shortening applied (note that ME cladde was the past not of clǭthen but of (Nor
OE	2422	pdf-137	121	What is striking about this rule simplification is that it made the learning of inflectional morphology less straightforward. The crucial point is that there were no verbs with ǭ in the root that had past tenses to which shortening applied (note that ME cladde was the past not of clǭthen but of (Nor
Middle English	2428	pdf-138	122	**Table 6.5 Vowel length alternations in thirteenth-century Midlands Middle English**
German	2443	pdf-138	122	A quite different type of rule simplification is explored in Buckley 2009. A number of sound changes known from the historical record appear to have been phonetically natural in only some of the environments in which they occurred. An example is the Old High German shift of inherited *þ (i.e. */θ/) 
German	2443	pdf-138	122	A quite different type of rule simplification is explored in Buckley 2009. A number of sound changes known from the historical record appear to have been phonetically natural in only some of the environments in which they occurred. An example is the Old High German shift of inherited *þ (i.e. */θ/) 
French	2447	pdf-139	123	section). Simplification of rules by the generalization of output allophones may be more common than we are currently aware of; Buckley adduces several cases, including the notorious Old French (OF) palatalization of Latin c /k/ before low /a/, only some of whose allophones had been fronted (Buckley
Latin	2447	pdf-139	123	section). Simplification of rules by the generalization of output allophones may be more common than we are currently aware of; Buckley adduces several cases, including the notorious Old French (OF) palatalization of Latin c /k/ before low /a/, only some of whose allophones had been fronted (Buckley
German	2455	pdf-139	123	An apparently ineluctable case of rule reordering is revealed by a comparison of two closely related northeastern dialects of Swiss German, those of Schaffhausen (the tiny northernmost canton) and of Kesswil (in the neighboring canton of Thurgau; Kiparsky 1982a: 19–20, 29, 76–7). Like all other Germ
German	2455	pdf-139	123	An apparently ineluctable case of rule reordering is revealed by a comparison of two closely related northeastern dialects of Swiss German, those of Schaffhausen (the tiny northernmost canton) and of Kesswil (in the neighboring canton of Thurgau; Kiparsky 1982a: 19–20, 29, 76–7). Like all other Germ
German	2455	pdf-139	123	An apparently ineluctable case of rule reordering is revealed by a comparison of two closely related northeastern dialects of Swiss German, those of Schaffhausen (the tiny northernmost canton) and of Kesswil (in the neighboring canton of Thurgau; Kiparsky 1982a: 19–20, 29, 76–7). Like all other Germ
German	2455	pdf-139	123	An apparently ineluctable case of rule reordering is revealed by a comparison of two closely related northeastern dialects of Swiss German, those of Schaffhausen (the tiny northernmost canton) and of Kesswil (in the neighboring canton of Thurgau; Kiparsky 1982a: 19–20, 29, 76–7). Like all other Germ
German	2455	pdf-139	123	An apparently ineluctable case of rule reordering is revealed by a comparison of two closely related northeastern dialects of Swiss German, those of Schaffhausen (the tiny northernmost canton) and of Kesswil (in the neighboring canton of Thurgau; Kiparsky 1982a: 19–20, 29, 76–7). Like all other Germ
German	2523	pdf-142	126	A further German example leads us to consider the process of learning German natively in more detail. A word-final obstruent devoicing rule entered the language around 1100 CE. The result was that in Middle High German (MHG) the endingless form of the adjective ‘long’, for example, was lanc [lɑŋk], 
German	2523	pdf-142	126	A further German example leads us to consider the process of learning German natively in more detail. A word-final obstruent devoicing rule entered the language around 1100 CE. The result was that in Middle High German (MHG) the endingless form of the adjective ‘long’, for example, was lanc [lɑŋk], 
German	2523	pdf-142	126	A further German example leads us to consider the process of learning German natively in more detail. A word-final obstruent devoicing rule entered the language around 1100 CE. The result was that in Middle High German (MHG) the endingless form of the adjective ‘long’, for example, was lanc [lɑŋk], 
German	2523	pdf-142	126	A further German example leads us to consider the process of learning German natively in more detail. A word-final obstruent devoicing rule entered the language around 1100 CE. The result was that in Middle High German (MHG) the endingless form of the adjective ‘long’, for example, was lanc [lɑŋk], 
German	2527	pdf-143	127	**Table 6.10 Devoicing and g-loss in northern Germany**
German	2538	pdf-143	127	**Table 6.11 g-loss and devoicing in southern Germany**
German	2551	pdf-143	127	We might suggest that in this case, too, native learners have projected the absence of an oral stop into underlying forms, giving /lɑŋ/ ‘long’, for example. But it seems that that cannot be true, for the following reason. Prevocalic and morpheme-final surface [ŋ] in modern German not only exhibits t
German	2553	pdf-143	127	However, a further fact undermines this counterargument. Most of the German words in which [ŋg] occurs on the surface, and virtually all the alternating pairs, are unlikely to be learned by a child of preschool age. For instance, a young native learner of German will ordinarily hear not Triangel and
German	2553	pdf-143	127	However, a further fact undermines this counterargument. Most of the German words in which [ŋg] occurs on the surface, and virtually all the alternating pairs, are unlikely to be learned by a child of preschool age. For instance, a young native learner of German will ordinarily hear not Triangel and
