headword	status	pc_form	pg_form	references	isogloss_typology	interpretation	interpretation_category	stratum	notes	page_anchor
SUFFERING	doubtful	*aglitā (W aeled ‘pain, suffering, grief’)	*agliþō- (Go. agliþa ‘tribulation’)	L257, IEW 7-8, EDPC 27, H57, LIV² 257, EDPG 4	MO	GCL (I-II)	GCL	I-II	Both C and G appear to continue t-expansions of PIE *h2egʰ-leh2-(Skt. aghrā- ‘evil’, YAv. aɣrā- ‘name of an illness’, Go. aglo ‘tribulation’). However, these expansions must be independent in PC *aglātu- (MIr. álad ‘wound’, W aelawd ‘grief, affliction’), as they appear to be derivations in *-tu-, while the Germanic (highly productive) derivation in *-iþō < *-i-tā is secondary from *agljan-, cf. G agljan ‘to hurt’. A pre-PG *aglitā provides a suitable parallel formation or donor form for W aeled, but it requires the assumption that the W masculine noun was originally feminine.	page:37
SWIFT	doubtful	*kribV- (OIr. crib, crim ‘quickly, swiftly’)	*hrappa- (Icel. hrapa ‘to fall down’, Nw. rapa ‘crash down’, MDu. rap, ‘swift, fierce’)	Blöndal 1989 366, EDPG 243	LX	3L (I)	3L	I	This isogloss presumes a CG root *kreb(ʰ)- that is continued in the zero grade in Celtic, and in the o-grade in Germanic. This root violates PIE root constraints and is therefore unlikely to be of Proto-Indo-European age. The spelling crim is also attested in OIr., which, if original, would remove the isogloss and allow for a connection with W cryf, B kreñv ‘strong’ instead.	page:37
SWIRL	doubtful	*s(t)rit-antī (OIr. srithit ‘stream (of milk, blood)’)	*streþan- (OHG stredan ‘to seethe, swirl’), *straþma- (MHG stradem ‘swirl’), *struþla- (NHG Strudel ‘whirl, vortex’)	IEW 1001-1002, EDPG 484	RT	IE? (0), L (I)	IE? (0), L	I	A CG root *s(t)re(i)t- ‘to flow’ may be posited, but the precise formation of OIr. srithit is unclear, making the root connection uncertain as well. OCo. stret, MCo. streyth ‘stream, brook’ must be read as containing a final /ð/ < PC *d, so they are unrelated.	page:38
TESTICLES	doubtful	*kallio- (W caill, B kell ‘testicle’), *kallu- (OIr. caull ‘testicle’), *kalluko- (OIr. cullach ‘boar, stallion’, MB callouch ‘uncastrated’)	*skalla(n)- (OE sceallan, MHG schellen, OFri. skall ‘testicle(s)’), *skelhan- (OHG scel(ah)o, OLFra. skelo, MLG schele ‘stallion’ (whence NHG be-schälen ‘to cover (a mare)’)	L256, IEW 292	RT	L (I-II)	L	I-II	A CG root *(s)kal- may be reconstructed. However, another possibility is that the Celtic is word is related to Gr. κήλων, -ωνος, Dor. κάλων ‘stallion, male ass’ (< “having testicles”?), through a shared root *ḱ(e)h2l-. This root would be incompatible with PG *skelhan- on account of the latter’s e-vocalism.	page:38
THIRST	doubtful	*tartu- (OIr. tart ‘dryness, thirst’, W tarth ‘steam’)	*þurstu- (OE þurst, þyrst, OS thurst, OHG durst ‘thirst’)	L259, EDPC 371, EDPG 553	MO	IE (0)	IE	0	Celtic and Germanic share a tu-derivation to the PIE root *ters-‘dry’, but it is unclear whether this represents a PIE archaism or could be due to independent innovations. The semantic shift of ‘dryness’ to ‘thirst’ is trivial and shared with e.g., Avestan taršna- ‘thirst’.	page:38
TROOP	doubtful	*drungo- (OIr. drong ‘troop’, MW dronn ‘multitude’, Gallo-Lat. drungos ‘group of enemies’)	*druhta- (Go. driugan ‘to serve as a soldier’, OE dryht ‘companion’, OHG truht ‘troop’, ON drótt ‘company, following’)	L247, IEW 255, H34	SM	IE(?)	IE(?)		A semantic isogloss has been proposed on the basis of a shared development of a military sense to the root *dʰreugʰ-, which in Balto-Slavic just means ‘friend’, cf. OCS drugъ, Lith. draũgas. It is not certain that the Celtic form goes back to this root, however. As no nasal present is associated with this root in Celtic, the form *drungo- would require a rare metathesis of pre-PC *drug-no- to *drungo- (“Thurneysen’s law”), which is otherwise only found in PIE *bʰudʰ-no- ‘bottom’ > PC *bundo- (cf. Skt. budhná- vs MIr. bond, bonn) and perhaps PIE *tud-no- ‘broken’ > PC *tundo- (Skt. tudná- vs W twn). Another possible objection to assuming a Celto-Germanicism is the fact that the Balto-Slavic meaning ‘friend’ itself may have developed from (the then primary meaning) ‘military ally’.	page:38
TROUBLE	doubtful	*saitro- (OIr. saethar ‘work, labor’), *saitu- (OIr. sáeth ‘trouble’, W hoed ‘pain’)	*saira- (OE sārig ‘sorry’, OHG serō ‘painfully’, ON sárr ‘painful’, sár ‘wound’)	IEW 877, H63	SM	IE(?)	IE(?)		Reflexes of PIE *seh2i- ‘to rage, be in pain’ may mean ‘pain’ in Celtic and Germanic only, cf. Lat. saevus ‘wild’, W hoyw ‘lively’, Hitt. šāi-zi ‘to become sullen, angry’. However, the range of meanings and formations is wide in both branches, so this semantic development, which anyway seems trivial, may well be independent in each branch.	page:38
TUB	doubtful	*drukontio- (OIr. drochta ‘tub, vessel’)	*truga- (OE, ON trog, OHG troc ‘trough’)	Stokes 1901, 468-469, IEW 214-217, H75	SM	IE(?)	IE(?)		A derivation of PIE *dreu- ‘tree’ in *-kó- is attractive for the Germanic, but a PC derivative *druxtio- as has been suggested would require an irregular loss of the thematic vowel in *-ko-. An alternative *drukontio- could yield the attested form, leaving a root connection and a semantic isogloss. OIr. droichet ‘bridge, causeway’ is unrelated, and must be a compound of droch ‘wheel’ and sét ‘path’.	page:38
UTTERANCE	doubtful	*iexti- (OIr. icht ‘people, tribe’, W iaith, B yezh, MCo. yēth ‘language’)	*jehti- (OHG jiht ‘confession; praise’, OFri. jecht ‘confession’)	L257, Kr140, IEW 503-504, SBCHP 106-107, 268, EDPC 435, H85, EDPG 272	MO	IE (0)	IE	0	Celtic and Germanic uniquely expand the PIE root *iek- ‘to speak’ with *-ti-. OIr. icht may either be an i-stem or a u-stem; the cluster -cht- resists palatalization, so the distinction between a PC *-tu- and a *-ti- suffix is neutralized. For W iaith, B yezh, both suffixes are impossible: the sound law Brittonic *ie > ia applied regularly, so a suffix that caused i-affection to this secondary stem vowel *a must be postulated. Short *i did not cause i-affection of *a in Brittonic, but the yod in io-stems did, as did long *ī < PC *ī, *ū. The suffix mostconsistentwitheitheroftheIrish optionswouldbeasecondary thematization of a *-ti- suffix, giving PBr. *iextio-. The combined evidence of Brittonic and Goidelic therefore makes PC derivation in *-ti- more likely than any alternative; derivation in *-tu- would only work if this word were an exception to Brittonnic *ie > ia. The Celto-Germanicism could be due to shared inheritance from PIE or to independent innovations to the inherited root *iek-.	page:38
WIRE	doubtful	*uiriā- (Celtib. viriae ‘arm-ornament’), *ueiro- (MIr. fíar, W gŵyr, B gwar ‘curved’)	*wīra- (OE wīr, ON vírr ‘ornament of wire’)	L251, Kr140, Birkhan 1970, 152-155, Pl284, EDPC 414	MO/SM	IE(?)	IE(?)		Although the Germanic word is usually described as a borrowing from Celtic, this Celto-Germanicism is doubtful because viriae and viriolae ‘arm-ornaments’ are only indirectly attested in Pliny the Elder’s Natural History (Book 33, 12), which describes these words as Celtic. Only if Pliny correctly identified these words as Celtic, a Celto-Germanic connection to PG *wīra- ‘ornament of wire’ may be adduced. However, the Insular Celtic languages provide no semantic match to Pliny’s words. Similarly, OHG wiara < PG *wiara- could be a post-PG Stratum IV borrowing from a Gaulish equivalent of *weiriā, but no such word is attested from any Celtic language. The only possible cognate, the adjective *weiro- ‘curved’, is found in Insular Celtic, but it is uncertain that it is etymologically relevant to viriae. Even these PG *wīraand PC *weiro- do not technically constitute a morphological isogloss in the form of a formation *ueih1-ro- (< PIE *ueih1- ‘to turn’) because G has a noun and C an adjective.	page:39
WRINKLE	doubtful	*grunko- (OIr. gruc ‘wrinkle’ )	*kreukan-, *krūkan- (MDu. crōken ‘to wrinkle, break, tear’, ME crowke ‘to bow’, Nw. krjuka ‘to cringe, crawl’)	IEW 389, EDPG 304	RT	IE? (0)	IE?	0	A CG root *gruk- would connect these forms, but the meaning ‘wrinkle’ appears to be secondary to ‘to be bent’ in Germanic, so the comparison is semantically imperfect. OIr. gruc is moreover compatible with many other proto-forms, e.g. PC *gʷriggu-.	page:39
